# k f_up f_allD C_global_avg
2.000000 0.012283 0.987717 0.011274
3.000000 0.289561 0.710439 0.282671
4.000000 0.136262 0.863738 0.131387
5.000000 0.008276 0.991724 0.005585
6.000000 0.004996 0.995004 0.002181
7.000000 0.004573 0.995427 0.001402
8.000000 0.004899 0.995101 0.001311
9.000000 0.005278 0.994722 0.001257
10.000000 0.005645 0.994355 0.001211
11.000000 0.006105 0.993895 0.001198
12.000000 0.006535 0.993465 0.001181
13.000000 0.007104 0.992896 0.001190
14.000000 0.007562 0.992438 0.001185
15.000000 0.007983 0.992017 0.001169
16.000000 0.008478 0.991522 0.001166
17.000000 0.008968 0.991032 0.001165
18.000000 0.009481 0.990519 0.001166
19.000000 0.009926 0.990074 0.001161
20.000000 0.010398 0.989602 0.001163
21.000000 0.010866 0.989134 0.001162
22.000000 0.011345 0.988655 0.001166
23.000000 0.011668 0.988332 0.001147
24.000000 0.012220 0.987780 0.001159
25.000000 0.012590 0.987410 0.001151
26.000000 0.013352 0.986648 0.001191
27.000000 0.013759 0.986241 0.001179
28.000000 0.014048 0.985952 0.001175
29.000000 0.014416 0.985584 0.001157
30.000000 0.015073 0.984927 0.001202
31.000000 0.015345 0.984655 0.001163
32.000000 0.015829 0.984171 0.001166
33.000000 0.016522 0.983478 0.001219
34.000000 0.016907 0.983093 0.001211
35.000000 0.017438 0.982562 0.001212
36.000000 0.017767 0.982233 0.001215
37.000000 0.018374 0.981626 0.001215
38.000000 0.019092 0.980908 0.001258
39.000000 0.019116 0.980884 0.001201
40.000000 0.019683 0.980317 0.001219
41.000000 0.020235 0.979765 0.001259
42.000000 0.021024 0.978976 0.001274
43.000000 0.021287 0.978713 0.001265
44.000000 0.021424 0.978576 0.001250
45.000000 0.022099 0.977901 0.001258
46.000000 0.022300 0.977700 0.001261
47.000000 0.022718 0.977282 0.001293
48.000000 0.023433 0.976567 0.001294
49.000000 0.023907 0.976093 0.001313
50.000000 0.024150 0.975850 0.001295
51.000000 0.024328 0.975672 0.001280
52.000000 0.025533 0.974467 0.001340
53.000000 0.025497 0.974503 0.001343
54.000000 0.025848 0.974152 0.001408
55.000000 0.026323 0.973677 0.001521
56.000000 0.027036 0.972964 0.001358
57.000000 0.027631 0.972369 0.001382
58.000000 0.027776 0.972224 0.001395
59.000000 0.028409 0.971591 0.001486
60.000000 0.028850 0.971150 0.001424
61.000000 0.029646 0.970354 0.001459
62.000000 0.029407 0.970593 0.001469
63.000000 0.030353 0.969647 0.001500
64.000000 0.030410 0.969590 0.001547
65.000000 0.030777 0.969223 0.001441
66.000000 0.031658 0.968342 0.001578
67.000000 0.032055 0.967945 0.001642
68.000000 0.032174 0.967826 0.001592
69.000000 0.032809 0.967191 0.001548
70.000000 0.033143 0.966857 0.001492
71.000000 0.033842 0.966158 0.001590
72.000000 0.033692 0.966308 0.001582
73.000000 0.033776 0.966224 0.001548
74.000000 0.034877 0.965123 0.001586
75.000000 0.035224 0.964776 0.001774
76.000000 0.035339 0.964661 0.001780
77.000000 0.037095 0.962905 0.001938
78.000000 0.036963 0.963037 0.001864
79.000000 0.037705 0.962295 0.001799
80.000000 0.037680 0.962320 0.001865
81.000000 0.037773 0.962227 0.001845
82.000000 0.038484 0.961516 0.001808
83.000000 0.038480 0.961520 0.001924
84.000000 0.039320 0.960680 0.001867
85.000000 0.040299 0.959701 0.001988
86.000000 0.040422 0.959578 0.002086
87.000000 0.040535 0.959465 0.002056
88.000000 0.040760 0.959240 0.002073
89.000000 0.041715 0.958285 0.001973
90.000000 0.041633 0.958367 0.001951
91.000000 0.042024 0.957976 0.002214
92.000000 0.043042 0.956958 0.002093
93.000000 0.043652 0.956348 0.002316
94.000000 0.043743 0.956257 0.002450
95.000000 0.042815 0.957185 0.002171
96.000000 0.045297 0.954703 0.002450
97.000000 0.044858 0.955142 0.002304
98.000000 0.045805 0.954195 0.002552
99.000000 0.046475 0.953525 0.002804
100.000000 0.045280 0.954720 0.002474
101.000000 0.046931 0.953069 0.002641
102.000000 0.047966 0.952034 0.002796
103.000000 0.047438 0.952562 0.002736
104.000000 0.048744 0.951256 0.002809
105.000000 0.047702 0.952298 0.002409
106.000000 0.049620 0.950380 0.002962
107.000000 0.049634 0.950366 0.002974
108.000000 0.049260 0.950740 0.002975
109.000000 0.049976 0.950024 0.002906
110.000000 0.050402 0.949598 0.003064
111.000000 0.050581 0.949419 0.002767
112.000000 0.051871 0.948129 0.003203
113.000000 0.051712 0.948288 0.003248
114.000000 0.052767 0.947233 0.003458
115.000000 0.054015 0.945985 0.003713
116.000000 0.052434 0.947566 0.003081
117.000000 0.053925 0.946075 0.003415
118.000000 0.055123 0.944877 0.003734
119.000000 0.054883 0.945117 0.003464
120.000000 0.054392 0.945608 0.003323
121.000000 0.055852 0.944148 0.003702
122.000000 0.056327 0.943673 0.003835
123.000000 0.056354 0.943646 0.003803
124.000000 0.057168 0.942832 0.003876
125.000000 0.057061 0.942939 0.004256
126.000000 0.058562 0.941438 0.004063
127.000000 0.057559 0.942441 0.003748
128.000000 0.059336 0.940664 0.004285
129.000000 0.059191 0.940809 0.004015
