# k f_up f_allD C_global_avg
161.000000 0.269357 0.730643 0.004487
162.000000 0.273010 0.726990 0.004411
163.000000 0.272774 0.727226 0.004479
164.000000 0.270556 0.729444 0.004566
165.000000 0.270775 0.729225 0.004257
166.000000 0.269342 0.730658 0.004474
167.000000 0.267858 0.732142 0.004437
168.000000 0.270734 0.729266 0.004426
169.000000 0.268384 0.731616 0.004317
170.000000 0.272251 0.727749 0.004447
171.000000 0.270472 0.729528 0.004417
172.000000 0.266523 0.733477 0.004564
173.000000 0.265186 0.734814 0.004152
174.000000 0.267879 0.732121 0.004272
175.000000 0.266808 0.733192 0.004409
176.000000 0.269852 0.730148 0.004137
177.000000 0.264985 0.735015 0.004155
178.000000 0.267318 0.732682 0.004441
179.000000 0.267942 0.732058 0.004409
