# k f_up f_down f_allD C_global_avg
2.000000 0.294550 0.433905 0.271545 0.720033
3.000000 0.313784 0.612474 0.073742 0.914104
4.000000 0.320118 0.614380 0.065503 0.921288
5.000000 0.300989 0.631460 0.067551 0.918261
6.000000 0.277128 0.645062 0.077810 0.906642
7.000000 0.260201 0.650927 0.088872 0.894317
8.000000 0.243899 0.662253 0.093848 0.888290
9.000000 0.219613 0.675095 0.105292 0.876437
10.000000 0.209007 0.675219 0.115775 0.865127
11.000000 0.201858 0.679348 0.118795 0.861473
12.000000 0.192950 0.674673 0.132377 0.847075
13.000000 0.185253 0.673561 0.141186 0.837395
14.000000 0.178568 0.675409 0.146024 0.832394
15.000000 0.172447 0.672494 0.155059 0.822890
16.000000 0.167950 0.669598 0.162452 0.814912
17.000000 0.163572 0.671476 0.164952 0.812318
18.000000 0.160979 0.660914 0.178107 0.798202
19.000000 0.156826 0.670252 0.172921 0.803590
20.000000 0.153756 0.670217 0.176027 0.800143
21.000000 0.152316 0.663453 0.184231 0.791693
22.000000 0.152230 0.660076 0.187694 0.787239
23.000000 0.147880 0.654028 0.198092 0.776418
24.000000 0.145976 0.659327 0.194697 0.779636
25.000000 0.144442 0.656327 0.199231 0.775202
26.000000 0.141702 0.652088 0.206210 0.767326
27.000000 0.140838 0.644994 0.214169 0.759336
28.000000 0.140320 0.651489 0.208192 0.765250
29.000000 0.139202 0.650911 0.209887 0.763214
30.000000 0.139403 0.647234 0.213362 0.759156
31.000000 0.137308 0.644956 0.217735 0.754702
32.000000 0.137619 0.638826 0.223554 0.748225
33.000000 0.135901 0.640105 0.223994 0.747738
34.000000 0.135278 0.640364 0.224359 0.747125
35.000000 0.135596 0.637454 0.226950 0.744059
36.000000 0.132913 0.633440 0.233647 0.737393
37.000000 0.131502 0.636263 0.232235 0.739043
38.000000 0.132383 0.635281 0.232336 0.738306
39.000000 0.130961 0.628982 0.240057 0.730288
40.000000 0.130700 0.629683 0.239617 0.730600
41.000000 0.130574 0.634564 0.234862 0.735000
42.000000 0.131267 0.634228 0.234505 0.735433
43.000000 0.129716 0.634647 0.235637 0.734053
44.000000 0.127673 0.628055 0.244272 0.725108
45.000000 0.129764 0.623963 0.246273 0.722447
46.000000 0.129797 0.624175 0.246028 0.722457
47.000000 0.128927 0.619944 0.251129 0.717259
48.000000 0.129156 0.619471 0.251373 0.716816
49.000000 0.128776 0.622496 0.248728 0.719479
50.000000 0.127595 0.618570 0.253835 0.713873
51.000000 0.127650 0.616878 0.255471 0.711846
52.000000 0.129929 0.620473 0.249598 0.718045
53.000000 0.127258 0.617288 0.255453 0.712200
54.000000 0.127988 0.609633 0.262379 0.704654
55.000000 0.126088 0.617088 0.256823 0.710182
56.000000 0.126955 0.610926 0.262119 0.704515
57.000000 0.127851 0.612029 0.260119 0.706034
58.000000 0.125348 0.613830 0.260821 0.705656
59.000000 0.126777 0.611621 0.261602 0.704655
60.000000 0.123432 0.615797 0.260770 0.705544
61.000000 0.124815 0.616854 0.258331 0.707617
62.000000 0.125804 0.608152 0.266045 0.699688
63.000000 0.126131 0.604582 0.269287 0.695822
64.000000 0.126705 0.604060 0.269235 0.695752
65.000000 0.125513 0.607756 0.266731 0.698544
66.000000 0.127452 0.600611 0.271937 0.692315
67.000000 0.125381 0.602577 0.272042 0.692637
68.000000 0.122196 0.606441 0.271363 0.694024
69.000000 0.124244 0.604166 0.271591 0.692962
