# k f_up f_down f_allD C_global_avg
2.000000 0.297518 0.435378 0.267103 0.724466
3.000000 0.345671 0.612583 0.041746 0.946715
4.000000 0.367168 0.605776 0.027056 0.960930
5.000000 0.373506 0.601231 0.025263 0.961255
6.000000 0.364113 0.609097 0.026790 0.958107
7.000000 0.357753 0.611256 0.030991 0.952021
8.000000 0.332799 0.631610 0.035591 0.946241
9.000000 0.329242 0.627820 0.042939 0.936853
10.000000 0.310526 0.642191 0.047283 0.932207
11.000000 0.305455 0.637329 0.057216 0.920522
12.000000 0.299606 0.637617 0.062777 0.914027
13.000000 0.288190 0.641597 0.070213 0.905820
14.000000 0.282094 0.648106 0.069800 0.905853
15.000000 0.280052 0.638818 0.081130 0.893134
16.000000 0.268363 0.643866 0.087771 0.886673
17.000000 0.267045 0.641493 0.091462 0.882345
18.000000 0.262373 0.637547 0.100079 0.872825
19.000000 0.264823 0.631772 0.103406 0.868343
20.000000 0.258159 0.633044 0.108797 0.862486
21.000000 0.254903 0.629655 0.115442 0.855381
22.000000 0.251788 0.633211 0.115000 0.855977
23.000000 0.252321 0.630121 0.117558 0.853197
24.000000 0.247526 0.626813 0.125661 0.844063
25.000000 0.245170 0.622307 0.132523 0.836768
26.000000 0.245501 0.616435 0.138064 0.830795
27.000000 0.241994 0.619674 0.138332 0.830154
28.000000 0.242036 0.616402 0.141562 0.826642
29.000000 0.244867 0.606730 0.148403 0.819048
30.000000 0.239179 0.606834 0.153987 0.813293
31.000000 0.240942 0.602053 0.157005 0.809242
32.000000 0.238042 0.606281 0.155677 0.810809
33.000000 0.239397 0.596456 0.164148 0.801256
34.000000 0.241088 0.591848 0.167064 0.797562
35.000000 0.239789 0.595400 0.164811 0.800310
36.000000 0.236737 0.591634 0.171629 0.793007
37.000000 0.237550 0.585871 0.176579 0.787126
38.000000 0.236882 0.588809 0.174309 0.789494
39.000000 0.237892 0.573744 0.188363 0.774415
40.000000 0.237214 0.575776 0.187010 0.775692
41.000000 0.236189 0.577012 0.186799 0.775752
42.000000 0.235759 0.571820 0.192421 0.769478
43.000000 0.234627 0.572332 0.193041 0.768687
44.000000 0.242364 0.560080 0.197555 0.763545
45.000000 0.239650 0.562290 0.198060 0.762255
46.000000 0.236181 0.567568 0.196251 0.764503
47.000000 0.237585 0.556445 0.205970 0.753727
48.000000 0.235079 0.557639 0.207282 0.752728
49.000000 0.237591 0.556411 0.205998 0.752910
50.000000 0.237067 0.554006 0.208927 0.749606
51.000000 0.237790 0.550187 0.212024 0.746203
52.000000 0.238247 0.548185 0.213568 0.744978
53.000000 0.237114 0.539016 0.223870 0.733798
54.000000 0.236074 0.542360 0.221566 0.735684
55.000000 0.237106 0.539751 0.223144 0.733733
56.000000 0.235846 0.546560 0.217594 0.740314
57.000000 0.238849 0.538647 0.222504 0.733518
58.000000 0.239203 0.538826 0.221971 0.734154
59.000000 0.239373 0.526697 0.233930 0.721214
60.000000 0.238632 0.535019 0.226349 0.729801
61.000000 0.241041 0.524838 0.234121 0.720788
62.000000 0.240427 0.530057 0.229516 0.725958
63.000000 0.237982 0.530111 0.231907 0.723362
64.000000 0.239327 0.526085 0.234587 0.720416
65.000000 0.239237 0.524571 0.236191 0.718171
66.000000 0.238483 0.518876 0.242641 0.711048
67.000000 0.239825 0.512915 0.247260 0.705996
68.000000 0.237289 0.516188 0.246523 0.707315
69.000000 0.242103 0.514638 0.243260 0.709833
70.000000 0.241056 0.506778 0.252166 0.700490
71.000000 0.239307 0.512445 0.248248 0.704461
72.000000 0.238675 0.513373 0.247953 0.704346
73.000000 0.238638 0.505040 0.256323 0.695932
74.000000 0.237562 0.510851 0.251587 0.701218
75.000000 0.237492 0.503034 0.259474 0.692480
76.000000 0.242757 0.503756 0.253487 0.698085
