# k f_up f_down f_allD C_global_avg
2.000000 0.015264 0.081579 0.903157 0.094143
3.000000 0.432051 0.557018 0.010930 0.985334
4.000000 0.459082 0.531898 0.009020 0.986725
5.000000 0.414876 0.556031 0.029094 0.964995
6.000000 0.336317 0.592105 0.071578 0.921126
7.000000 0.262034 0.620701 0.117265 0.875074
8.000000 0.225613 0.619523 0.154864 0.836756
9.000000 0.192949 0.626129 0.180923 0.810559
10.000000 0.173006 0.617926 0.209068 0.781993
11.000000 0.160511 0.617660 0.221829 0.768841
12.000000 0.154061 0.608881 0.237057 0.753091
13.000000 0.145387 0.620529 0.234085 0.755756
14.000000 0.146505 0.623101 0.230394 0.758846
15.000000 0.139752 0.628769 0.231479 0.757387
16.000000 0.138138 0.623794 0.238068 0.750053
17.000000 0.137500 0.630234 0.232265 0.755318
18.000000 0.137038 0.627465 0.235497 0.751520
19.000000 0.135000 0.629647 0.235353 0.751317
20.000000 0.134593 0.625296 0.240111 0.745753
21.000000 0.134862 0.635901 0.229237 0.756358
22.000000 0.135443 0.637874 0.226682 0.758250
23.000000 0.133220 0.641073 0.225708 0.758763
24.000000 0.136484 0.629747 0.233769 0.749815
25.000000 0.131723 0.641447 0.226830 0.756818
26.000000 0.133665 0.637315 0.229020 0.753796
27.000000 0.138394 0.636166 0.225440 0.756692
28.000000 0.135377 0.638075 0.226548 0.755175
29.000000 0.136744 0.647969 0.215287 0.765690
30.000000 0.133049 0.643118 0.223833 0.756919
31.000000 0.135030 0.643718 0.221252 0.759074
32.000000 0.134471 0.652085 0.213444 0.766500
33.000000 0.135622 0.642866 0.221512 0.757824
34.000000 0.138894 0.643742 0.217365 0.761279
35.000000 0.136621 0.650799 0.212581 0.765512
36.000000 0.136330 0.644638 0.219032 0.758542
37.000000 0.138827 0.638251 0.222922 0.754002
38.000000 0.138184 0.644807 0.217009 0.759508
39.000000 0.139326 0.640333 0.220341 0.755174
40.000000 0.133996 0.647068 0.218936 0.756780
41.000000 0.139804 0.645556 0.214639 0.760751
42.000000 0.138333 0.649406 0.212261 0.762593
43.000000 0.138572 0.654038 0.207390 0.767049
