# k f_up f_allD C_global_avg
2.000000 0.399560 0.600440 0.389981
3.000000 0.343165 0.656835 0.304976
4.000000 0.142232 0.857768 0.108526
5.000000 0.068294 0.931706 0.040115
6.000000 0.044448 0.955552 0.020020
7.000000 0.037857 0.962143 0.014317
8.000000 0.033738 0.966262 0.010777
9.000000 0.031889 0.968111 0.008924
10.000000 0.029993 0.970007 0.007435
11.000000 0.029065 0.970935 0.006476
12.000000 0.027965 0.972035 0.005621
13.000000 0.027885 0.972115 0.005134
14.000000 0.027422 0.972578 0.004660
15.000000 0.027171 0.972829 0.004293
16.000000 0.026868 0.973132 0.003934
17.000000 0.026187 0.973813 0.003579
18.000000 0.026148 0.973852 0.003365
19.000000 0.026227 0.973773 0.003186
20.000000 0.025683 0.974317 0.002951
21.000000 0.025754 0.974246 0.002806
22.000000 0.025896 0.974104 0.002694
23.000000 0.025772 0.974228 0.002555
24.000000 0.026119 0.973881 0.002474
25.000000 0.025279 0.974721 0.002289
26.000000 0.025456 0.974544 0.002213
27.000000 0.025384 0.974616 0.002123
28.000000 0.024979 0.975021 0.002009
29.000000 0.025459 0.974541 0.001978
30.000000 0.025127 0.974873 0.001883
31.000000 0.025198 0.974802 0.001823
32.000000 0.025130 0.974870 0.001758
33.000000 0.025364 0.974636 0.001722
34.000000 0.025070 0.974930 0.001648
35.000000 0.025092 0.974908 0.001600
36.000000 0.025451 0.974549 0.001580
37.000000 0.025000 0.975000 0.001501
38.000000 0.025488 0.974512 0.001496
39.000000 0.025094 0.974906 0.001432
40.000000 0.024845 0.975155 0.001382
41.000000 0.025185 0.974815 0.001364
42.000000 0.025171 0.974829 0.001332
43.000000 0.025236 0.974764 0.001304
44.000000 0.024917 0.975083 0.001255
45.000000 0.024961 0.975039 0.001228
46.000000 0.024704 0.975296 0.001186
47.000000 0.025238 0.974762 0.001190
48.000000 0.024900 0.975100 0.001149
49.000000 0.024824 0.975176 0.001120
50.000000 0.025003 0.974997 0.001105
51.000000 0.024291 0.975709 0.001050
52.000000 0.024587 0.975413 0.001042
53.000000 0.024758 0.975242 0.001029
54.000000 0.025076 0.974924 0.001025
55.000000 0.025029 0.974971 0.001006
56.000000 0.024390 0.975610 0.000959
57.000000 0.024913 0.975087 0.000963
58.000000 0.024578 0.975422 0.000931
59.000000 0.024981 0.975019 0.000931
60.000000 0.024333 0.975667 0.000889
61.000000 0.024746 0.975254 0.000892
62.000000 0.024926 0.975074 0.000886
63.000000 0.024733 0.975267 0.000863
64.000000 0.024851 0.975149 0.000854
65.000000 0.024402 0.975598 0.000823
66.000000 0.024856 0.975144 0.000827
67.000000 0.024536 0.975464 0.000803
68.000000 0.024818 0.975182 0.000800
69.000000 0.024819 0.975181 0.000790
70.000000 0.024735 0.975265 0.000776
71.000000 0.024498 0.975502 0.000757
72.000000 0.024503 0.975497 0.000746
73.000000 0.024644 0.975356 0.000739
74.000000 0.024734 0.975266 0.000733
75.000000 0.024908 0.975092 0.000728
76.000000 0.024734 0.975266 0.000714
77.000000 0.024972 0.975028 0.000710
78.000000 0.024342 0.975658 0.000683
79.000000 0.024342 0.975658 0.000673
80.000000 0.024515 0.975485 0.000670
