# k f_up f_down f_allD C_global_avg
2.000000 0.015522 0.078677 0.905801 0.091542
3.000000 0.433362 0.554181 0.012457 0.983738
4.000000 0.459623 0.528449 0.011928 0.983663
5.000000 0.413999 0.555934 0.030067 0.964069
6.000000 0.320682 0.601222 0.078096 0.914800
7.000000 0.250096 0.637261 0.112643 0.880030
8.000000 0.209957 0.620772 0.169271 0.822764
9.000000 0.189424 0.624749 0.185826 0.805783
10.000000 0.166496 0.627764 0.205740 0.785571
11.000000 0.156583 0.631246 0.212171 0.778676
12.000000 0.147383 0.624421 0.228196 0.762186
13.000000 0.143110 0.617997 0.238893 0.750939
14.000000 0.137971 0.633921 0.228108 0.761439
15.000000 0.143438 0.621738 0.234825 0.753563
16.000000 0.131735 0.640698 0.227567 0.761052
17.000000 0.134584 0.641862 0.223554 0.764371
18.000000 0.132293 0.634279 0.233428 0.753958
19.000000 0.130133 0.638850 0.231017 0.755912
20.000000 0.133200 0.634332 0.232468 0.753643
21.000000 0.127767 0.640036 0.232197 0.753591
22.000000 0.130663 0.644095 0.225241 0.760033
23.000000 0.127980 0.640069 0.231952 0.752613
24.000000 0.127617 0.647216 0.225168 0.759331
25.000000 0.128072 0.648725 0.223204 0.760526
26.000000 0.127838 0.653341 0.218821 0.764843
27.000000 0.127527 0.647633 0.224840 0.758098
28.000000 0.130266 0.641582 0.228152 0.753715
29.000000 0.130442 0.645456 0.224103 0.757453
30.000000 0.126992 0.640879 0.232129 0.749080
31.000000 0.127205 0.647651 0.225144 0.755826
32.000000 0.131145 0.640072 0.228783 0.751076
33.000000 0.130165 0.649671 0.220164 0.759408
34.000000 0.129187 0.640393 0.230420 0.748280
35.000000 0.129039 0.645682 0.225280 0.753535
36.000000 0.128090 0.655967 0.215943 0.763011
37.000000 0.131285 0.652982 0.215733 0.761866
38.000000 0.132668 0.653100 0.214232 0.763065
39.000000 0.132840 0.639883 0.227276 0.749137
40.000000 0.131389 0.647072 0.221539 0.754557
41.000000 0.134625 0.643488 0.221888 0.753480
42.000000 0.132128 0.653248 0.214624 0.760992
43.000000 0.132423 0.647786 0.219791 0.754964
44.000000 0.135778 0.647780 0.216442 0.757486
45.000000 0.131424 0.652449 0.216127 0.757884
46.000000 0.131428 0.654975 0.213597 0.760101
47.000000 0.136052 0.631248 0.232700 0.739193
48.000000 0.134689 0.643903 0.221408 0.750843
49.000000 0.133179 0.645400 0.221420 0.750537
50.000000 0.134866 0.658201 0.206933 0.765024
51.000000 0.137297 0.646874 0.215830 0.755177
52.000000 0.135188 0.633594 0.231218 0.738730
53.000000 0.135528 0.648723 0.215749 0.754900
54.000000 0.140403 0.643628 0.215969 0.753401
55.000000 0.137300 0.653628 0.209072 0.760509
56.000000 0.136572 0.643315 0.220113 0.748548
57.000000 0.136381 0.643996 0.219623 0.748218
58.000000 0.138569 0.643454 0.217977 0.749608
59.000000 0.139772 0.635525 0.224703 0.741895
60.000000 0.138559 0.639537 0.221904 0.744964
61.000000 0.139252 0.646963 0.213785 0.752895
62.000000 0.138341 0.631287 0.230372 0.734997
63.000000 0.142811 0.633560 0.223629 0.741618
64.000000 0.139792 0.645346 0.214862 0.750187
65.000000 0.140898 0.635728 0.223375 0.740894
66.000000 0.139378 0.635848 0.224774 0.739516
67.000000 0.141665 0.641245 0.217090 0.746697
68.000000 0.139347 0.637630 0.223024 0.740556
69.000000 0.140598 0.637644 0.221759 0.740904
70.000000 0.140766 0.632073 0.227161 0.735370
71.000000 0.141294 0.643505 0.215201 0.747378
72.000000 0.139971 0.645619 0.214410 0.747983
73.000000 0.143559 0.644705 0.211736 0.749963
74.000000 0.147124 0.632669 0.220207 0.739577
75.000000 0.143630 0.631806 0.224564 0.735053
76.000000 0.138252 0.638503 0.223244 0.737865
77.000000 0.144228 0.636435 0.219337 0.740118
78.000000 0.146331 0.630319 0.223350 0.735515
79.000000 0.144082 0.640961 0.214957 0.744036
80.000000 0.144332 0.627118 0.228550 0.729322
81.000000 0.144700 0.642988 0.212312 0.745836
82.000000 0.142548 0.635613 0.221839 0.736983
83.000000 0.147225 0.625678 0.227097 0.729781
84.000000 0.149454 0.624777 0.225769 0.729644
85.000000 0.145464 0.636402 0.218134 0.738226
86.000000 0.146535 0.629592 0.223873 0.732031
87.000000 0.143481 0.638469 0.218051 0.738149
88.000000 0.146410 0.637462 0.216128 0.739633
89.000000 0.146316 0.633637 0.220047 0.735632
90.000000 0.148205 0.628819 0.222976 0.731858
91.000000 0.147517 0.630241 0.222242 0.732231
92.000000 0.149834 0.635241 0.214925 0.738765
93.000000 0.147685 0.627450 0.224865 0.728240
94.000000 0.149040 0.636991 0.213969 0.738914
95.000000 0.147622 0.631711 0.220667 0.731644
96.000000 0.148612 0.623529 0.227859 0.724580
97.000000 0.151084 0.627319 0.221598 0.729858
98.000000 0.149574 0.624882 0.225543 0.725959
99.000000 0.151337 0.629236 0.219427 0.731040
100.000000 0.149206 0.625513 0.225281 0.725772
101.000000 0.152908 0.621403 0.225689 0.723378
102.000000 0.150147 0.628701 0.221152 0.729401
103.000000 0.153564 0.617387 0.229049 0.719818
104.000000 0.156536 0.620755 0.222708 0.725643
105.000000 0.152612 0.617229 0.230159 0.718518
106.000000 0.148647 0.628430 0.222923 0.726937
107.000000 0.155175 0.608914 0.235910 0.710127
108.000000 0.153090 0.624033 0.222877 0.724769
109.000000 0.153932 0.622090 0.223978 0.722763
110.000000 0.150487 0.628555 0.220958 0.726827
111.000000 0.154579 0.626036 0.219385 0.727631
112.000000 0.159432 0.620864 0.219704 0.725501
113.000000 0.155178 0.628746 0.216076 0.730916
114.000000 0.153355 0.624226 0.222419 0.723154
115.000000 0.158220 0.628819 0.212961 0.731974
116.000000 0.157118 0.621017 0.221865 0.722883
117.000000 0.158361 0.621320 0.220320 0.723857
118.000000 0.158880 0.617051 0.224070 0.718199
119.000000 0.157692 0.613824 0.228484 0.714210
120.000000 0.158280 0.615902 0.225817 0.716776
121.000000 0.156821 0.620071 0.223107 0.720147
122.000000 0.159048 0.613788 0.227164 0.714699
123.000000 0.158318 0.614282 0.227400 0.714566
124.000000 0.154300 0.622555 0.223145 0.719861
125.000000 0.158724 0.616792 0.224484 0.716908
126.000000 0.158691 0.624857 0.216452 0.725380
127.000000 0.160143 0.616612 0.223245 0.717755
128.000000 0.156617 0.613461 0.229922 0.710978
129.000000 0.158508 0.620785 0.220708 0.720418
130.000000 0.162579 0.607912 0.229509 0.709774
131.000000 0.160932 0.615626 0.223442 0.716190
132.000000 0.158071 0.610890 0.231039 0.708822
133.000000 0.160633 0.615784 0.223583 0.716032
134.000000 0.160741 0.625990 0.213269 0.725737
135.000000 0.161393 0.617534 0.221073 0.717598
136.000000 0.161698 0.615048 0.223254 0.715201
137.000000 0.165786 0.608776 0.225438 0.710343
138.000000 0.161989 0.620680 0.217332 0.721596
139.000000 0.164817 0.606678 0.228505 0.707031
140.000000 0.166736 0.599213 0.234051 0.700597
141.000000 0.169629 0.594804 0.235566 0.697846
142.000000 0.169599 0.599895 0.230506 0.702779
143.000000 0.167304 0.609498 0.223198 0.711174
144.000000 0.165211 0.615331 0.219458 0.715695
145.000000 0.163610 0.610879 0.225511 0.710176
146.000000 0.164409 0.598435 0.237156 0.696434
147.000000 0.165461 0.599960 0.234579 0.698153
148.000000 0.165071 0.620783 0.214146 0.721525
149.000000 0.168137 0.614191 0.217672 0.715776
150.000000 0.163589 0.617344 0.219067 0.715682
151.000000 0.168129 0.605508 0.226363 0.707235
