# k f_up f_allD C_global_avg
2.000000 0.012556 0.987444 0.011540
3.000000 0.448784 0.551216 0.439544
4.000000 0.163959 0.836041 0.158745
5.000000 0.006491 0.993509 0.003851
6.000000 0.004272 0.995728 0.001495
7.000000 0.004448 0.995552 0.001335
8.000000 0.004808 0.995192 0.001265
9.000000 0.005199 0.994801 0.001219
10.000000 0.005673 0.994327 0.001201
11.000000 0.006100 0.993900 0.001175
12.000000 0.006539 0.993461 0.001157
13.000000 0.007067 0.992933 0.001158
14.000000 0.007511 0.992489 0.001145
15.000000 0.008012 0.991988 0.001142
16.000000 0.008464 0.991536 0.001134
17.000000 0.008905 0.991095 0.001126
18.000000 0.009382 0.990618 0.001123
19.000000 0.009939 0.990061 0.001131
20.000000 0.010312 0.989688 0.001119
21.000000 0.010864 0.989136 0.001125
22.000000 0.011273 0.988727 0.001118
23.000000 0.011864 0.988136 0.001131
24.000000 0.012209 0.987791 0.001117
25.000000 0.012639 0.987361 0.001113
26.000000 0.013295 0.986705 0.001131
27.000000 0.013684 0.986316 0.001124
28.000000 0.014123 0.985877 0.001124
29.000000 0.014757 0.985243 0.001137
30.000000 0.015185 0.984815 0.001136
31.000000 0.015597 0.984403 0.001132
32.000000 0.016065 0.983935 0.001135
33.000000 0.016436 0.983564 0.001127
34.000000 0.016962 0.983038 0.001133
35.000000 0.017405 0.982595 0.001133
36.000000 0.017826 0.982174 0.001134
37.000000 0.018341 0.981659 0.001138
38.000000 0.018725 0.981275 0.001138
39.000000 0.019503 0.980497 0.001160
40.000000 0.019510 0.980490 0.001132
41.000000 0.019857 0.980143 0.001124
42.000000 0.020410 0.979590 0.001135
43.000000 0.021134 0.978866 0.001170
44.000000 0.021367 0.978633 0.001146
45.000000 0.021943 0.978057 0.001163
46.000000 0.022527 0.977473 0.001174
47.000000 0.022757 0.977243 0.001158
48.000000 0.023350 0.976650 0.001164
49.000000 0.023889 0.976111 0.001207
50.000000 0.024083 0.975917 0.001172
51.000000 0.024593 0.975407 0.001169
52.000000 0.025302 0.974698 0.001179
53.000000 0.025616 0.974384 0.001181
54.000000 0.026134 0.973866 0.001185
55.000000 0.026643 0.973357 0.001217
56.000000 0.026801 0.973199 0.001184
57.000000 0.027306 0.972694 0.001194
58.000000 0.027365 0.972635 0.001173
59.000000 0.028281 0.971719 0.001202
60.000000 0.028441 0.971559 0.001202
61.000000 0.028833 0.971167 0.001190
62.000000 0.029603 0.970397 0.001211
63.000000 0.030244 0.969756 0.001227
64.000000 0.030219 0.969781 0.001215
65.000000 0.031254 0.968746 0.001239
66.000000 0.030836 0.969164 0.001197
67.000000 0.031924 0.968076 0.001276
68.000000 0.031915 0.968085 0.001214
69.000000 0.032908 0.967092 0.001289
70.000000 0.032600 0.967400 0.001228
71.000000 0.033755 0.966245 0.001269
72.000000 0.034092 0.965908 0.001256
73.000000 0.034256 0.965744 0.001247
74.000000 0.035169 0.964831 0.001267
75.000000 0.035397 0.964603 0.001284
76.000000 0.035701 0.964299 0.001272
