# k f_up f_down f_allD C_global_avg
2.000000 0.394019 0.464879 0.141101 0.785527
3.000000 0.442631 0.537812 0.019557 0.891378
4.000000 0.446029 0.537034 0.016937 0.879751
5.000000 0.428524 0.551502 0.019975 0.862637
6.000000 0.414870 0.556372 0.028757 0.840503
7.000000 0.408014 0.555878 0.036109 0.821253
8.000000 0.383497 0.575615 0.040887 0.813771
9.000000 0.383091 0.567510 0.049399 0.794853
10.000000 0.378854 0.569155 0.051991 0.785866
11.000000 0.363968 0.579303 0.056729 0.780174
12.000000 0.357891 0.583965 0.058144 0.775360
13.000000 0.351999 0.582204 0.065797 0.766574
14.000000 0.351188 0.586061 0.062751 0.763038
15.000000 0.344021 0.589396 0.066583 0.758652
16.000000 0.340892 0.587710 0.071399 0.749926
17.000000 0.332441 0.597346 0.070213 0.751004
18.000000 0.329505 0.601470 0.069025 0.750681
19.000000 0.325238 0.600220 0.074542 0.745651
20.000000 0.325919 0.593922 0.080159 0.732347
21.000000 0.322084 0.607596 0.070320 0.745238
22.000000 0.314623 0.616944 0.068433 0.748587
23.000000 0.308732 0.619833 0.071435 0.744168
24.000000 0.305510 0.621585 0.072905 0.739625
25.000000 0.292919 0.631177 0.075903 0.742050
26.000000 0.291503 0.634540 0.073957 0.741737
27.000000 0.290194 0.641458 0.068348 0.745464
28.000000 0.286987 0.637653 0.075360 0.738816
29.000000 0.279321 0.652951 0.067728 0.748104
30.000000 0.276436 0.656122 0.067442 0.746215
31.000000 0.269768 0.660195 0.070037 0.744323
32.000000 0.267300 0.666000 0.066699 0.745142
33.000000 0.262878 0.673800 0.063322 0.751346
34.000000 0.259012 0.676513 0.064475 0.748521
35.000000 0.248033 0.691109 0.060858 0.756034
36.000000 0.246068 0.693653 0.060278 0.753714
37.000000 0.236620 0.705653 0.057728 0.761101
38.000000 0.240102 0.700389 0.059509 0.753118
39.000000 0.231995 0.712748 0.055257 0.758663
40.000000 0.227274 0.713637 0.059089 0.754054
41.000000 0.221413 0.722514 0.056073 0.758958
42.000000 0.216674 0.731387 0.051939 0.763375
43.000000 0.209507 0.742383 0.048110 0.769177
44.000000 0.208483 0.744362 0.047155 0.767788
45.000000 0.203734 0.750197 0.046068 0.768945
46.000000 0.200070 0.755150 0.044780 0.770380
47.000000 0.201646 0.746749 0.051606 0.757018
48.000000 0.192163 0.763326 0.044511 0.767130
49.000000 0.184767 0.769101 0.046132 0.767766
50.000000 0.184358 0.771460 0.044182 0.765612
51.000000 0.179142 0.779533 0.041325 0.771348
52.000000 0.175797 0.783451 0.040752 0.769779
53.000000 0.171989 0.788706 0.039305 0.770792
54.000000 0.173558 0.785687 0.040755 0.766145
55.000000 0.165767 0.799927 0.034306 0.775130
56.000000 0.163110 0.801346 0.035544 0.771692
57.000000 0.159209 0.804162 0.036629 0.769141
58.000000 0.155373 0.810694 0.033934 0.771233
