# k f_up f_allD C_global_avg
2.000000 0.397956 0.602044 0.388231
3.000000 0.344202 0.655798 0.309076
4.000000 0.167592 0.832408 0.133914
5.000000 0.082603 0.917397 0.054083
6.000000 0.057367 0.942633 0.031040
7.000000 0.040889 0.959111 0.016158
8.000000 0.035020 0.964980 0.011901
9.000000 0.032165 0.967835 0.009273
10.000000 0.030721 0.969279 0.007997
11.000000 0.028868 0.971132 0.006564
12.000000 0.028265 0.971735 0.005836
13.000000 0.027444 0.972556 0.005168
14.000000 0.027982 0.972018 0.004893
15.000000 0.026832 0.973168 0.004306
16.000000 0.026716 0.973284 0.003994
17.000000 0.026676 0.973324 0.003745
18.000000 0.026848 0.973152 0.003553
19.000000 0.025763 0.974237 0.003191
20.000000 0.025618 0.974382 0.003006
21.000000 0.025888 0.974112 0.002882
22.000000 0.025469 0.974531 0.002701
23.000000 0.025713 0.974287 0.002599
24.000000 0.025274 0.974726 0.002441
25.000000 0.025393 0.974607 0.002343
26.000000 0.025448 0.974552 0.002255
27.000000 0.025425 0.974575 0.002169
28.000000 0.024931 0.975069 0.002037
29.000000 0.025219 0.974781 0.001994
30.000000 0.025056 0.974944 0.001911
31.000000 0.025011 0.974989 0.001837
32.000000 0.025085 0.974915 0.001782
33.000000 0.025254 0.974746 0.001746
34.000000 0.024581 0.975419 0.001640
35.000000 0.024971 0.975029 0.001619
36.000000 0.025155 0.974845 0.001590
37.000000 0.024629 0.975371 0.001506
38.000000 0.024987 0.975013 0.001492
39.000000 0.024474 0.975526 0.001417
40.000000 0.024967 0.975033 0.001411
41.000000 0.024854 0.975146 0.001369
42.000000 0.024731 0.975269 0.001328
43.000000 0.024923 0.975077 0.001309
44.000000 0.024481 0.975519 0.001252
45.000000 0.024572 0.975428 0.001231
46.000000 0.024868 0.975132 0.001217
47.000000 0.025082 0.974918 0.001202
48.000000 0.025080 0.974920 0.001176
49.000000 0.024500 0.975500 0.001122
50.000000 0.025190 0.974810 0.001133
51.000000 0.024594 0.975406 0.001083
52.000000 0.024664 0.975336 0.001064
53.000000 0.024904 0.975096 0.001055
54.000000 0.024459 0.975541 0.001014
55.000000 0.024463 0.975537 0.000995
56.000000 0.024608 0.975392 0.000982
57.000000 0.024417 0.975583 0.000959
58.000000 0.025029 0.974971 0.000967
59.000000 0.024306 0.975694 0.000921
60.000000 0.024895 0.975105 0.000929
61.000000 0.024738 0.975262 0.000907
62.000000 0.023988 0.976012 0.000862
63.000000 0.024389 0.975611 0.000862
64.000000 0.024215 0.975785 0.000843
65.000000 0.025210 0.974790 0.000867
66.000000 0.024165 0.975835 0.000814
67.000000 0.024740 0.975260 0.000823
68.000000 0.024420 0.975580 0.000802
69.000000 0.024436 0.975564 0.000790
70.000000 0.024123 0.975877 0.000766
71.000000 0.024810 0.975190 0.000781
72.000000 0.024149 0.975851 0.000745
73.000000 0.024117 0.975883 0.000736
74.000000 0.024712 0.975288 0.000744
75.000000 0.024349 0.975651 0.000722
76.000000 0.023791 0.976209 0.000694
77.000000 0.024636 0.975364 0.000713
78.000000 0.024541 0.975459 0.000700
79.000000 0.024571 0.975429 0.000693
80.000000 0.024906 0.975094 0.000693
81.000000 0.024259 0.975741 0.000665
82.000000 0.024352 0.975648 0.000661
83.000000 0.023738 0.976262 0.000635
84.000000 0.024504 0.975496 0.000650
85.000000 0.024260 0.975740 0.000634
86.000000 0.024341 0.975659 0.000628
87.000000 0.025029 0.974971 0.000638
88.000000 0.025119 0.974881 0.000637
89.000000 0.024517 0.975483 0.000611
90.000000 0.024872 0.975128 0.000616
91.000000 0.024184 0.975816 0.000589
92.000000 0.024225 0.975775 0.000584
93.000000 0.024330 0.975670 0.000579
94.000000 0.024691 0.975309 0.000584
95.000000 0.024247 0.975753 0.000566
96.000000 0.024770 0.975230 0.000573
97.000000 0.024708 0.975292 0.000566
98.000000 0.024508 0.975492 0.000554
99.000000 0.024180 0.975820 0.000540
100.000000 0.024277 0.975723 0.000537
101.000000 0.024278 0.975722 0.000532
102.000000 0.024480 0.975520 0.000532
103.000000 0.024161 0.975839 0.000519
104.000000 0.024771 0.975229 0.000529
105.000000 0.023930 0.976070 0.000504
106.000000 0.024225 0.975775 0.000505
107.000000 0.024501 0.975499 0.000506
108.000000 0.024341 0.975659 0.000499
109.000000 0.024205 0.975795 0.000492
110.000000 0.025543 0.974457 0.000518
111.000000 0.024721 0.975279 0.000494
112.000000 0.024548 0.975452 0.000485
113.000000 0.024379 0.975621 0.000478
114.000000 0.024350 0.975650 0.000472
115.000000 0.024246 0.975754 0.000466
116.000000 0.024243 0.975757 0.000460
117.000000 0.024315 0.975685 0.000460
118.000000 0.024505 0.975495 0.000460
119.000000 0.024256 0.975744 0.000451
120.000000 0.024423 0.975577 0.000450
121.000000 0.024197 0.975803 0.000443
122.000000 0.024386 0.975614 0.000442
123.000000 0.024546 0.975454 0.000442
124.000000 0.024711 0.975289 0.000440
125.000000 0.024170 0.975830 0.000427
126.000000 0.024483 0.975517 0.000431
127.000000 0.024516 0.975484 0.000429
128.000000 0.024865 0.975135 0.000430
129.000000 0.024643 0.975357 0.000422
130.000000 0.024368 0.975632 0.000415
131.000000 0.024471 0.975529 0.000412
132.000000 0.024284 0.975716 0.000407
133.000000 0.024369 0.975631 0.000406
134.000000 0.024450 0.975550 0.000403
135.000000 0.024468 0.975532 0.000401
136.000000 0.024052 0.975948 0.000390
137.000000 0.024335 0.975665 0.000392
138.000000 0.024054 0.975946 0.000384
139.000000 0.024816 0.975184 0.000396
