# k f_up f_allD C_global_avg
2.000000 0.395377 0.604623 0.385795
3.000000 0.352995 0.647005 0.320864
4.000000 0.173814 0.826186 0.142288
5.000000 0.090129 0.909871 0.062907
6.000000 0.057187 0.942813 0.032009
7.000000 0.041883 0.958117 0.017813
8.000000 0.036424 0.963576 0.013311
9.000000 0.032718 0.967282 0.009833
10.000000 0.031927 0.968073 0.008918
11.000000 0.030297 0.969703 0.007556
12.000000 0.028933 0.971067 0.006235
13.000000 0.029024 0.970976 0.005715
14.000000 0.027872 0.972128 0.004996
15.000000 0.027036 0.972964 0.004502
16.000000 0.026708 0.973292 0.004123
17.000000 0.026159 0.973841 0.003766
18.000000 0.026277 0.973723 0.003569
19.000000 0.025908 0.974092 0.003288
20.000000 0.025885 0.974115 0.003107
21.000000 0.025973 0.974027 0.002976
22.000000 0.025645 0.974355 0.002791
23.000000 0.025900 0.974100 0.002686
24.000000 0.025717 0.974283 0.002563
25.000000 0.025287 0.974713 0.002398
26.000000 0.024822 0.975178 0.002247
27.000000 0.025182 0.974818 0.002197
28.000000 0.024966 0.975034 0.002090
29.000000 0.024848 0.975152 0.002007
30.000000 0.024602 0.975398 0.001918
31.000000 0.025309 0.974691 0.001909
32.000000 0.025215 0.974785 0.001853
33.000000 0.024769 0.975231 0.001748
34.000000 0.025042 0.974958 0.001710
35.000000 0.024868 0.975132 0.001649
36.000000 0.025130 0.974870 0.001620
37.000000 0.024751 0.975249 0.001558
38.000000 0.024239 0.975761 0.001472
39.000000 0.024470 0.975530 0.001447
40.000000 0.025224 0.974776 0.001465
41.000000 0.024286 0.975714 0.001358
42.000000 0.024484 0.975516 0.001345
43.000000 0.024788 0.975212 0.001327
44.000000 0.025107 0.974893 0.001320
45.000000 0.024617 0.975383 0.001256
46.000000 0.024923 0.975077 0.001246
47.000000 0.024266 0.975734 0.001184
48.000000 0.024559 0.975441 0.001175
49.000000 0.024354 0.975646 0.001136
50.000000 0.024566 0.975434 0.001124
51.000000 0.024920 0.975080 0.001123
52.000000 0.024351 0.975649 0.001073
53.000000 0.024119 0.975881 0.001041
54.000000 0.024167 0.975833 0.001024
55.000000 0.024237 0.975763 0.001009
56.000000 0.023594 0.976406 0.000956
57.000000 0.024506 0.975494 0.000986
58.000000 0.024422 0.975578 0.000959
59.000000 0.024376 0.975624 0.000943
60.000000 0.024592 0.975408 0.000935
61.000000 0.024501 0.975499 0.000916
62.000000 0.024649 0.975351 0.000906
63.000000 0.023761 0.976239 0.000857
64.000000 0.024060 0.975940 0.000853
65.000000 0.024027 0.975973 0.000838
66.000000 0.024345 0.975655 0.000839
67.000000 0.024660 0.975340 0.000840
68.000000 0.024414 0.975586 0.000817
69.000000 0.024130 0.975870 0.000793
70.000000 0.023793 0.976207 0.000771
71.000000 0.024130 0.975870 0.000773
72.000000 0.024584 0.975416 0.000776
73.000000 0.024844 0.975156 0.000773
74.000000 0.023935 0.976065 0.000733
75.000000 0.024161 0.975839 0.000728
76.000000 0.023705 0.976295 0.000705
77.000000 0.023790 0.976210 0.000700
78.000000 0.023873 0.976127 0.000691
79.000000 0.023683 0.976317 0.000676
80.000000 0.023344 0.976656 0.000659
81.000000 0.023817 0.976183 0.000670
82.000000 0.024134 0.975866 0.000664
83.000000 0.024205 0.975795 0.000660
84.000000 0.024016 0.975984 0.000648
85.000000 0.024129 0.975871 0.000644
86.000000 0.024403 0.975597 0.000643
87.000000 0.025093 0.974907 0.000658
88.000000 0.023995 0.976005 0.000618
89.000000 0.024099 0.975901 0.000612
90.000000 0.024106 0.975894 0.000605
91.000000 0.024691 0.975309 0.000614
92.000000 0.024702 0.975298 0.000610
93.000000 0.024415 0.975585 0.000594
94.000000 0.023918 0.976082 0.000574
95.000000 0.024246 0.975754 0.000578
96.000000 0.024527 0.975473 0.000582
97.000000 0.024137 0.975863 0.000562
98.000000 0.023462 0.976538 0.000540
99.000000 0.024237 0.975763 0.000554
100.000000 0.023928 0.976072 0.000540
101.000000 0.024251 0.975749 0.000541
102.000000 0.023864 0.976136 0.000527
103.000000 0.024696 0.975304 0.000544
104.000000 0.024069 0.975931 0.000521
105.000000 0.024266 0.975734 0.000523
106.000000 0.024204 0.975796 0.000514
107.000000 0.024629 0.975371 0.000521
108.000000 0.023600 0.976400 0.000492
109.000000 0.024389 0.975611 0.000505
