# k f_up f_down f_allD C_global_avg
2.000000 0.294298 0.430727 0.274974 0.716656
3.000000 0.318374 0.595374 0.086252 0.901643
4.000000 0.305322 0.622165 0.072513 0.914889
5.000000 0.287248 0.637531 0.075221 0.911124
6.000000 0.264835 0.648306 0.086859 0.898341
7.000000 0.254926 0.645550 0.099523 0.884162
8.000000 0.233927 0.657550 0.108523 0.874503
9.000000 0.217143 0.663741 0.119116 0.862902
10.000000 0.200594 0.667090 0.132316 0.849151
11.000000 0.192825 0.668570 0.138605 0.842256
12.000000 0.178541 0.675918 0.145540 0.834887
13.000000 0.171911 0.673953 0.154136 0.825815
14.000000 0.168914 0.670907 0.160179 0.819164
15.000000 0.160080 0.675975 0.163945 0.815421
16.000000 0.157795 0.671212 0.170992 0.807419
17.000000 0.152594 0.671136 0.176270 0.801978
18.000000 0.149898 0.664047 0.186055 0.791467
19.000000 0.145638 0.671437 0.182925 0.794784
20.000000 0.143736 0.663762 0.192503 0.784610
21.000000 0.141002 0.661098 0.197900 0.778837
22.000000 0.139710 0.655362 0.204928 0.771157
23.000000 0.140365 0.650947 0.208688 0.767077
24.000000 0.135733 0.652014 0.212253 0.763437
25.000000 0.135912 0.653610 0.210478 0.764879
26.000000 0.134187 0.649942 0.215871 0.758839
27.000000 0.135106 0.648711 0.216184 0.758410
28.000000 0.130952 0.645196 0.223851 0.750629
29.000000 0.128524 0.650602 0.220875 0.753577
30.000000 0.128099 0.649438 0.222463 0.751606
31.000000 0.125333 0.649041 0.225626 0.748326
32.000000 0.126679 0.643498 0.229823 0.743646
33.000000 0.124785 0.642929 0.232286 0.740837
34.000000 0.123123 0.641913 0.234964 0.738395
35.000000 0.125187 0.632647 0.242167 0.730368
36.000000 0.124447 0.635518 0.240035 0.732187
37.000000 0.121314 0.638974 0.239712 0.732866
38.000000 0.122095 0.633532 0.244372 0.727618
39.000000 0.119380 0.636039 0.244581 0.727473
40.000000 0.119420 0.639448 0.241132 0.731014
41.000000 0.121687 0.635634 0.242679 0.728721
42.000000 0.119779 0.625067 0.255154 0.715604
43.000000 0.118871 0.631825 0.249303 0.721845
44.000000 0.118000 0.626117 0.255883 0.714769
45.000000 0.119503 0.623290 0.257206 0.713172
46.000000 0.118268 0.635455 0.246277 0.724442
47.000000 0.115906 0.624241 0.259853 0.710440
48.000000 0.117443 0.620344 0.262213 0.707415
49.000000 0.117391 0.621035 0.261574 0.708166
50.000000 0.117000 0.628118 0.254882 0.714912
51.000000 0.119712 0.616713 0.263575 0.705214
52.000000 0.116483 0.620755 0.262761 0.706400
53.000000 0.115470 0.621290 0.263240 0.705870
54.000000 0.116011 0.623763 0.260226 0.708743
55.000000 0.116418 0.623568 0.260014 0.708975
56.000000 0.115103 0.617625 0.267272 0.701581
57.000000 0.115483 0.621029 0.263489 0.705077
58.000000 0.116059 0.613072 0.270869 0.696950
59.000000 0.114940 0.615491 0.269568 0.698451
