# k f_up f_down f_allD C_global_avg
2.000000 0.037075 0.109698 0.853227 0.145163
3.000000 0.175992 0.456627 0.367380 0.630819
4.000000 0.166244 0.469316 0.364441 0.633596
5.000000 0.160557 0.488389 0.351054 0.646673
6.000000 0.160680 0.521612 0.317708 0.679806
7.000000 0.135621 0.528460 0.335919 0.661329
8.000000 0.151027 0.532634 0.316339 0.680573
9.000000 0.141424 0.560936 0.297641 0.699041
10.000000 0.138711 0.554140 0.307149 0.689265
11.000000 0.143581 0.557375 0.299044 0.697072
12.000000 0.132123 0.568410 0.299467 0.696436
13.000000 0.132413 0.579681 0.287905 0.707609
14.000000 0.134738 0.571512 0.293751 0.701535
15.000000 0.132983 0.593374 0.273642 0.721481
16.000000 0.135912 0.574027 0.290061 0.704753
17.000000 0.131756 0.575959 0.292285 0.702362
18.000000 0.137971 0.573244 0.288785 0.705561
19.000000 0.135661 0.565736 0.298603 0.695440
