# k f_up f_allD C_global_avg
2.000000 0.685813 0.314187 0.578573
3.000000 0.703834 0.296166 0.516772
4.000000 0.593476 0.406524 0.391696
5.000000 0.522215 0.477785 0.314200
6.000000 0.479135 0.520865 0.269079
7.000000 0.440328 0.559672 0.233155
8.000000 0.417263 0.582737 0.212249
9.000000 0.410155 0.589845 0.202738
10.000000 0.393353 0.606647 0.187487
11.000000 0.391329 0.608671 0.182110
12.000000 0.379460 0.620540 0.172529
13.000000 0.374133 0.625867 0.165570
14.000000 0.366428 0.633572 0.160283
15.000000 0.363067 0.636933 0.156931
16.000000 0.365154 0.634846 0.155115
17.000000 0.357609 0.642391 0.150678
18.000000 0.357031 0.642969 0.147839
19.000000 0.351357 0.648643 0.144662
20.000000 0.345790 0.654210 0.140671
21.000000 0.343339 0.656661 0.138885
22.000000 0.346436 0.653564 0.139625
23.000000 0.341274 0.658726 0.134988
24.000000 0.343324 0.656676 0.137339
25.000000 0.342250 0.657750 0.134721
26.000000 0.344175 0.655825 0.135781
27.000000 0.338360 0.661640 0.132429
28.000000 0.340317 0.659683 0.132226
29.000000 0.337582 0.662418 0.130810
30.000000 0.340933 0.659067 0.132037
31.000000 0.335255 0.664745 0.127891
32.000000 0.335691 0.664309 0.128712
33.000000 0.330819 0.669181 0.125770
34.000000 0.331792 0.668208 0.124707
35.000000 0.332587 0.667413 0.125805
36.000000 0.336018 0.663982 0.127408
37.000000 0.336399 0.663601 0.127802
38.000000 0.335967 0.664033 0.126647
39.000000 0.328162 0.671838 0.123529
40.000000 0.329015 0.670985 0.123566
41.000000 0.333298 0.666702 0.124989
42.000000 0.333394 0.666606 0.125181
43.000000 0.331421 0.668579 0.123692
44.000000 0.333592 0.666408 0.124164
45.000000 0.333267 0.666733 0.124389
46.000000 0.331634 0.668366 0.123751
47.000000 0.336255 0.663745 0.126183
48.000000 0.327969 0.672031 0.120612
49.000000 0.332279 0.667721 0.122949
50.000000 0.326980 0.673020 0.120922
51.000000 0.335888 0.664112 0.125962
52.000000 0.331826 0.668174 0.121818
53.000000 0.333838 0.666162 0.123531
54.000000 0.328715 0.671285 0.120552
55.000000 0.332296 0.667704 0.121990
56.000000 0.334910 0.665090 0.124566
57.000000 0.331560 0.668440 0.121946
58.000000 0.324899 0.675101 0.118855
59.000000 0.327582 0.672418 0.120275
