# k f_up f_allD C_global_avg
2.000000 0.012467 0.987533 0.011453
3.000000 0.242955 0.757045 0.236851
4.000000 0.098033 0.901967 0.093898
5.000000 0.012200 0.987800 0.009343
6.000000 0.005034 0.994966 0.002173
7.000000 0.004868 0.995132 0.001709
8.000000 0.005032 0.994968 0.001433
9.000000 0.005261 0.994739 0.001267
10.000000 0.005736 0.994264 0.001259
11.000000 0.006110 0.993890 0.001227
12.000000 0.006607 0.993393 0.001251
13.000000 0.007033 0.992967 0.001192
14.000000 0.007690 0.992310 0.001244
15.000000 0.007964 0.992036 0.001183
16.000000 0.008522 0.991478 0.001220
17.000000 0.008949 0.991051 0.001185
18.000000 0.009570 0.990430 0.001226
19.000000 0.009811 0.990189 0.001179
20.000000 0.010269 0.989731 0.001170
21.000000 0.010892 0.989108 0.001205
22.000000 0.011317 0.988683 0.001195
23.000000 0.011804 0.988196 0.001203
24.000000 0.012277 0.987723 0.001210
25.000000 0.012595 0.987405 0.001185
26.000000 0.013344 0.986656 0.001315
27.000000 0.013617 0.986383 0.001202
28.000000 0.014173 0.985827 0.001248
29.000000 0.014580 0.985420 0.001283
30.000000 0.015303 0.984697 0.001263
31.000000 0.015372 0.984628 0.001212
32.000000 0.016073 0.983927 0.001270
33.000000 0.016453 0.983547 0.001264
34.000000 0.016914 0.983086 0.001287
35.000000 0.017596 0.982404 0.001326
36.000000 0.017677 0.982323 0.001247
37.000000 0.018343 0.981657 0.001314
38.000000 0.018847 0.981153 0.001395
39.000000 0.019567 0.980433 0.001374
40.000000 0.019656 0.980344 0.001332
41.000000 0.020052 0.979948 0.001325
42.000000 0.020861 0.979139 0.001439
43.000000 0.020971 0.979029 0.001430
44.000000 0.021761 0.978239 0.001453
45.000000 0.021991 0.978009 0.001447
46.000000 0.022588 0.977412 0.001513
47.000000 0.023068 0.976932 0.001532
48.000000 0.023684 0.976316 0.001532
49.000000 0.023654 0.976346 0.001394
50.000000 0.024656 0.975344 0.001516
51.000000 0.025013 0.974987 0.001571
52.000000 0.025252 0.974748 0.001488
53.000000 0.025812 0.974188 0.001607
54.000000 0.025997 0.974003 0.001615
55.000000 0.026793 0.973207 0.001712
56.000000 0.027350 0.972650 0.001742
57.000000 0.027464 0.972536 0.001708
58.000000 0.028193 0.971807 0.001827
59.000000 0.028371 0.971629 0.001817
60.000000 0.029119 0.970881 0.001878
61.000000 0.029716 0.970284 0.002003
62.000000 0.030598 0.969402 0.002200
63.000000 0.030171 0.969829 0.001961
64.000000 0.031160 0.968840 0.001955
65.000000 0.030890 0.969110 0.001757
66.000000 0.031823 0.968177 0.002061
67.000000 0.032239 0.967761 0.002104
68.000000 0.032667 0.967333 0.001898
69.000000 0.033133 0.966867 0.002156
70.000000 0.033539 0.966461 0.002281
71.000000 0.033216 0.966784 0.002087
72.000000 0.034448 0.965552 0.002112
73.000000 0.035450 0.964550 0.002357
74.000000 0.035264 0.964736 0.002295
75.000000 0.035891 0.964109 0.002635
76.000000 0.036007 0.963993 0.002235
77.000000 0.037135 0.962865 0.002591
78.000000 0.037184 0.962816 0.002582
79.000000 0.036932 0.963068 0.002503
80.000000 0.037450 0.962550 0.002474
81.000000 0.038709 0.961291 0.002827
82.000000 0.039337 0.960663 0.002827
83.000000 0.039590 0.960410 0.002851
84.000000 0.040892 0.959108 0.003153
85.000000 0.039839 0.960161 0.002861
86.000000 0.040336 0.959664 0.002786
87.000000 0.041071 0.958929 0.003105
88.000000 0.042712 0.957288 0.003369
89.000000 0.042587 0.957413 0.003418
90.000000 0.043409 0.956591 0.003598
91.000000 0.043624 0.956376 0.003419
92.000000 0.043545 0.956455 0.003191
93.000000 0.044199 0.955801 0.003354
94.000000 0.043564 0.956436 0.003356
95.000000 0.044215 0.955785 0.003370
96.000000 0.045111 0.954889 0.003596
97.000000 0.045940 0.954060 0.004108
98.000000 0.046422 0.953578 0.004080
99.000000 0.046243 0.953757 0.003637
100.000000 0.047453 0.952547 0.003647
101.000000 0.048469 0.951531 0.004105
102.000000 0.049082 0.950918 0.004279
103.000000 0.049177 0.950823 0.004096
104.000000 0.049787 0.950213 0.004395
105.000000 0.051275 0.948725 0.004852
106.000000 0.049951 0.950049 0.004279
107.000000 0.050785 0.949215 0.004873
108.000000 0.052091 0.947909 0.005282
109.000000 0.052682 0.947318 0.005656
