# k f_up f_down f_allD C_global_avg
2.000000 0.295830 0.432456 0.271714 0.719858
3.000000 0.324806 0.608739 0.066455 0.921230
4.000000 0.323790 0.620497 0.055713 0.931121
5.000000 0.314549 0.626791 0.058660 0.926734
6.000000 0.294970 0.634681 0.070349 0.913268
7.000000 0.271671 0.655939 0.072390 0.910764
8.000000 0.255776 0.659412 0.084811 0.896877
9.000000 0.229091 0.677333 0.093576 0.887469
10.000000 0.220321 0.676749 0.102930 0.877601
11.000000 0.211587 0.678915 0.109497 0.870261
12.000000 0.205342 0.674784 0.119874 0.858608
13.000000 0.198434 0.673621 0.127946 0.850090
14.000000 0.186946 0.676891 0.136163 0.841456
15.000000 0.183340 0.676212 0.140449 0.836797
16.000000 0.174950 0.677677 0.147373 0.829580
17.000000 0.175102 0.668843 0.156055 0.820207
18.000000 0.168056 0.673886 0.158058 0.818246
19.000000 0.166172 0.670114 0.163714 0.812009
20.000000 0.168282 0.655232 0.176486 0.797924
21.000000 0.163544 0.661736 0.174720 0.799909
22.000000 0.159959 0.661250 0.178792 0.795345
23.000000 0.158854 0.659168 0.181978 0.792090
24.000000 0.156562 0.660781 0.182658 0.791012
25.000000 0.155552 0.654286 0.190162 0.782924
26.000000 0.155755 0.651862 0.192383 0.780468
27.000000 0.152721 0.652050 0.195230 0.777438
28.000000 0.150289 0.649589 0.200122 0.771983
29.000000 0.147303 0.644291 0.208406 0.763575
30.000000 0.148221 0.639871 0.211908 0.759419
31.000000 0.147255 0.639728 0.213018 0.758057
32.000000 0.148096 0.639404 0.212499 0.758064
33.000000 0.145660 0.639091 0.215249 0.755525
34.000000 0.147762 0.631462 0.220775 0.749204
35.000000 0.144961 0.632266 0.222774 0.747097
36.000000 0.143202 0.641457 0.215341 0.755165
37.000000 0.143876 0.634446 0.221678 0.748045
38.000000 0.144304 0.630708 0.224989 0.744217
39.000000 0.142849 0.634248 0.222904 0.746238
40.000000 0.141920 0.631976 0.226104 0.742813
41.000000 0.140679 0.618723 0.240598 0.727715
42.000000 0.140335 0.629377 0.230287 0.738262
43.000000 0.138902 0.625641 0.235457 0.732738
44.000000 0.140121 0.627584 0.232295 0.735503
45.000000 0.139481 0.627564 0.232955 0.734794
46.000000 0.140566 0.615128 0.244307 0.722822
47.000000 0.140170 0.614492 0.245338 0.721996
48.000000 0.138905 0.615992 0.245103 0.721855
49.000000 0.139841 0.608790 0.251370 0.714859
50.000000 0.137660 0.618613 0.243727 0.722892
51.000000 0.137407 0.618009 0.244584 0.722045
52.000000 0.138449 0.610061 0.251490 0.714533
53.000000 0.139103 0.617881 0.243016 0.722884
54.000000 0.137969 0.617740 0.244291 0.721622
55.000000 0.138727 0.598313 0.262960 0.701745
56.000000 0.137041 0.607743 0.255215 0.710003
57.000000 0.137248 0.608914 0.253839 0.711441
58.000000 0.139607 0.599643 0.260750 0.703599
59.000000 0.138064 0.603600 0.258336 0.705991
60.000000 0.138066 0.600724 0.261210 0.703103
61.000000 0.136647 0.604311 0.259042 0.705189
62.000000 0.137261 0.600347 0.262392 0.701583
63.000000 0.135870 0.607958 0.256171 0.708246
64.000000 0.136146 0.600537 0.263318 0.700567
65.000000 0.137257 0.596578 0.266165 0.697231
66.000000 0.136934 0.592177 0.270889 0.692160
67.000000 0.136472 0.604683 0.258845 0.704552
68.000000 0.136476 0.600846 0.262678 0.700326
69.000000 0.135672 0.595045 0.269283 0.693676
70.000000 0.135768 0.595410 0.268822 0.693955
71.000000 0.135627 0.600271 0.264102 0.698500
72.000000 0.136033 0.589558 0.274409 0.687417
73.000000 0.135724 0.595999 0.268277 0.694236
74.000000 0.135791 0.584505 0.279704 0.681712
75.000000 0.136408 0.593683 0.269910 0.691986
76.000000 0.134892 0.597715 0.267394 0.695086
77.000000 0.134940 0.590782 0.274278 0.687684
78.000000 0.135310 0.589699 0.274990 0.686523
79.000000 0.137783 0.598849 0.263368 0.698141
