# k f_up f_allD C_global_avg
2.000000 0.012424 0.987576 0.011413
3.000000 0.443774 0.556226 0.434665
4.000000 0.158679 0.841321 0.153558
5.000000 0.004459 0.995541 0.001950
6.000000 0.004209 0.995791 0.001460
7.000000 0.004457 0.995543 0.001331
8.000000 0.004812 0.995188 0.001262
9.000000 0.005185 0.994815 0.001209
10.000000 0.005628 0.994372 0.001185
11.000000 0.006112 0.993888 0.001172
12.000000 0.006558 0.993442 0.001155
13.000000 0.007002 0.992998 0.001139
14.000000 0.007494 0.992506 0.001136
15.000000 0.007932 0.992068 0.001123
16.000000 0.008502 0.991498 0.001133
17.000000 0.008942 0.991058 0.001123
18.000000 0.009392 0.990608 0.001117
19.000000 0.009939 0.990061 0.001124
20.000000 0.010337 0.989663 0.001112
21.000000 0.010849 0.989151 0.001114
22.000000 0.011326 0.988674 0.001116
23.000000 0.011813 0.988187 0.001116
24.000000 0.012366 0.987634 0.001121
25.000000 0.012704 0.987296 0.001109
26.000000 0.013234 0.986766 0.001119
27.000000 0.013724 0.986276 0.001116
28.000000 0.014132 0.985868 0.001112
29.000000 0.014577 0.985423 0.001110
30.000000 0.015157 0.984843 0.001121
31.000000 0.015610 0.984390 0.001120
32.000000 0.016044 0.983956 0.001118
33.000000 0.016573 0.983427 0.001125
34.000000 0.016940 0.983060 0.001118
35.000000 0.017349 0.982651 0.001114
36.000000 0.017874 0.982126 0.001120
37.000000 0.018350 0.981650 0.001127
38.000000 0.018935 0.981065 0.001133
39.000000 0.019174 0.980826 0.001119
40.000000 0.019625 0.980375 0.001122
41.000000 0.020057 0.979943 0.001125
42.000000 0.020656 0.979344 0.001134
43.000000 0.021327 0.978673 0.001151
44.000000 0.021714 0.978286 0.001153
45.000000 0.022016 0.977984 0.001139
46.000000 0.022368 0.977632 0.001135
47.000000 0.023008 0.976992 0.001147
48.000000 0.023298 0.976702 0.001141
49.000000 0.024002 0.975998 0.001160
50.000000 0.024232 0.975768 0.001145
51.000000 0.024698 0.975302 0.001149
52.000000 0.025033 0.974967 0.001146
53.000000 0.025349 0.974651 0.001143
54.000000 0.026138 0.973862 0.001160
55.000000 0.026477 0.973523 0.001162
56.000000 0.026887 0.973113 0.001156
57.000000 0.027579 0.972421 0.001187
58.000000 0.027867 0.972133 0.001165
59.000000 0.028236 0.971764 0.001164
60.000000 0.028788 0.971212 0.001181
61.000000 0.029692 0.970308 0.001202
62.000000 0.030003 0.969997 0.001203
63.000000 0.029927 0.970073 0.001173
64.000000 0.030462 0.969538 0.001184
65.000000 0.030692 0.969308 0.001174
66.000000 0.031018 0.968982 0.001171
67.000000 0.031873 0.968127 0.001193
68.000000 0.032357 0.967643 0.001203
69.000000 0.032790 0.967210 0.001206
70.000000 0.033613 0.966387 0.001223
71.000000 0.033533 0.966467 0.001213
72.000000 0.034017 0.965983 0.001211
73.000000 0.034792 0.965208 0.001222
74.000000 0.035089 0.964911 0.001238
75.000000 0.035015 0.964985 0.001200
76.000000 0.035894 0.964106 0.001223
77.000000 0.036319 0.963681 0.001253
78.000000 0.036939 0.963061 0.001245
79.000000 0.037030 0.962970 0.001238
80.000000 0.037517 0.962483 0.001232
81.000000 0.037580 0.962420 0.001237
82.000000 0.038217 0.961783 0.001272
83.000000 0.038602 0.961398 0.001253
84.000000 0.038545 0.961455 0.001234
85.000000 0.039500 0.960500 0.001272
86.000000 0.040362 0.959638 0.001273
87.000000 0.040501 0.959499 0.001286
88.000000 0.041349 0.958651 0.001307
89.000000 0.040426 0.959574 0.001235
90.000000 0.042056 0.957944 0.001299
91.000000 0.042160 0.957840 0.001306
