# k f_up f_down f_allD C_global_avg
2.000000 0.395776 0.463799 0.140425 0.786302
3.000000 0.452817 0.525289 0.021894 0.884929
4.000000 0.445497 0.535278 0.019224 0.873487
5.000000 0.426477 0.547116 0.026407 0.852394
6.000000 0.416926 0.548502 0.034571 0.830207
7.000000 0.412194 0.544411 0.043395 0.808738
8.000000 0.392288 0.557630 0.050082 0.795602
9.000000 0.373230 0.573662 0.053109 0.791902
10.000000 0.371579 0.564414 0.064007 0.769728
11.000000 0.361358 0.569860 0.068783 0.762465
12.000000 0.354229 0.578474 0.067297 0.763535
13.000000 0.337212 0.589230 0.073558 0.759919
14.000000 0.340594 0.583562 0.075844 0.750297
15.000000 0.335857 0.586453 0.077690 0.746207
16.000000 0.337910 0.581218 0.080873 0.736131
17.000000 0.333921 0.585907 0.080172 0.736876
18.000000 0.325432 0.585633 0.088935 0.725226
19.000000 0.317814 0.601400 0.080786 0.735350
20.000000 0.309811 0.611590 0.078600 0.741035
21.000000 0.307023 0.615201 0.077776 0.739542
22.000000 0.302584 0.618311 0.079105 0.738260
23.000000 0.299927 0.618707 0.081365 0.733063
24.000000 0.290930 0.623952 0.085118 0.730694
25.000000 0.286354 0.629775 0.083871 0.731413
26.000000 0.286911 0.632162 0.080927 0.730824
27.000000 0.278218 0.636893 0.084889 0.727488
28.000000 0.279607 0.637622 0.082771 0.728318
29.000000 0.265198 0.653801 0.081001 0.732968
30.000000 0.266900 0.658600 0.074500 0.737225
31.000000 0.261989 0.661105 0.076906 0.735100
32.000000 0.258024 0.664498 0.077478 0.733481
33.000000 0.250077 0.672146 0.077776 0.734378
34.000000 0.246685 0.682674 0.070641 0.742833
35.000000 0.239189 0.693225 0.067586 0.747206
36.000000 0.239938 0.691773 0.068289 0.742900
37.000000 0.233422 0.698744 0.067835 0.744040
38.000000 0.228001 0.706700 0.065299 0.746727
39.000000 0.224947 0.709701 0.065352 0.746514
40.000000 0.216658 0.721979 0.061363 0.752274
41.000000 0.213083 0.727343 0.059575 0.751557
42.000000 0.209275 0.733478 0.057247 0.754900
43.000000 0.210103 0.731951 0.057946 0.751615
44.000000 0.201728 0.739378 0.058894 0.752704
45.000000 0.200757 0.740042 0.059202 0.749356
46.000000 0.192264 0.754783 0.052953 0.757170
47.000000 0.193468 0.751691 0.054841 0.752318
48.000000 0.185568 0.761860 0.052571 0.757138
49.000000 0.185793 0.760997 0.053210 0.753338
50.000000 0.181660 0.769674 0.048666 0.757159
51.000000 0.177734 0.776001 0.046265 0.760828
52.000000 0.177591 0.768983 0.053426 0.750445
53.000000 0.169966 0.783496 0.046537 0.759211
54.000000 0.165734 0.787978 0.046288 0.758455
55.000000 0.164284 0.788042 0.047675 0.755567
56.000000 0.161908 0.792808 0.045284 0.757478
57.000000 0.156497 0.800228 0.043275 0.759724
58.000000 0.151896 0.804225 0.043879 0.758394
59.000000 0.150753 0.810786 0.038461 0.762397
