# k f_up f_allD C_global_avg
2.000000 0.013007 0.986993 0.011983
3.000000 0.414261 0.585739 0.405524
4.000000 0.115209 0.884791 0.110745
5.000000 0.007201 0.992799 0.004611
6.000000 0.004325 0.995675 0.001541
7.000000 0.004512 0.995488 0.001364
8.000000 0.004873 0.995127 0.001289
9.000000 0.005276 0.994724 0.001246
10.000000 0.005660 0.994340 0.001205
11.000000 0.006106 0.993894 0.001184
12.000000 0.006571 0.993429 0.001172
13.000000 0.006985 0.993015 0.001151
14.000000 0.007529 0.992471 0.001156
15.000000 0.007990 0.992010 0.001145
16.000000 0.008505 0.991495 0.001149
17.000000 0.008888 0.991112 0.001133
18.000000 0.009411 0.990589 0.001140
19.000000 0.009963 0.990037 0.001145
20.000000 0.010393 0.989607 0.001137
21.000000 0.010788 0.989212 0.001129
22.000000 0.011347 0.988653 0.001139
23.000000 0.011821 0.988179 0.001136
24.000000 0.012292 0.987708 0.001136
25.000000 0.012715 0.987285 0.001134
26.000000 0.013307 0.986693 0.001148
27.000000 0.013660 0.986340 0.001137
28.000000 0.014300 0.985700 0.001157
29.000000 0.014693 0.985307 0.001148
30.000000 0.015336 0.984664 0.001166
31.000000 0.015520 0.984480 0.001141
32.000000 0.015866 0.984134 0.001134
33.000000 0.016264 0.983736 0.001128
34.000000 0.016879 0.983121 0.001149
35.000000 0.017541 0.982459 0.001162
36.000000 0.017937 0.982063 0.001162
37.000000 0.018275 0.981725 0.001159
38.000000 0.019047 0.980953 0.001182
39.000000 0.019413 0.980587 0.001179
40.000000 0.019846 0.980154 0.001186
41.000000 0.019935 0.980065 0.001155
42.000000 0.020612 0.979388 0.001184
43.000000 0.021232 0.978768 0.001182
44.000000 0.021288 0.978712 0.001168
45.000000 0.021891 0.978109 0.001181
46.000000 0.022566 0.977434 0.001205
47.000000 0.022775 0.977225 0.001210
48.000000 0.023605 0.976395 0.001214
49.000000 0.023905 0.976095 0.001209
50.000000 0.024360 0.975640 0.001205
51.000000 0.024452 0.975548 0.001208
52.000000 0.024994 0.975006 0.001199
53.000000 0.025573 0.974427 0.001213
54.000000 0.026095 0.973905 0.001222
55.000000 0.026481 0.973519 0.001223
56.000000 0.026831 0.973169 0.001238
57.000000 0.026966 0.973034 0.001232
58.000000 0.027794 0.972206 0.001238
59.000000 0.027982 0.972018 0.001236
60.000000 0.029081 0.970919 0.001332
61.000000 0.028851 0.971149 0.001233
62.000000 0.029535 0.970465 0.001301
63.000000 0.029946 0.970054 0.001271
64.000000 0.030203 0.969797 0.001261
65.000000 0.030769 0.969231 0.001280
66.000000 0.031414 0.968586 0.001320
67.000000 0.031398 0.968602 0.001292
68.000000 0.032000 0.968000 0.001299
69.000000 0.032445 0.967555 0.001298
70.000000 0.032702 0.967298 0.001270
71.000000 0.033802 0.966198 0.001329
72.000000 0.033817 0.966183 0.001371
73.000000 0.034077 0.965923 0.001321
74.000000 0.034308 0.965692 0.001310
75.000000 0.034913 0.965087 0.001298
76.000000 0.035284 0.964716 0.001333
77.000000 0.036440 0.963560 0.001423
78.000000 0.036139 0.963861 0.001461
79.000000 0.036850 0.963150 0.001396
80.000000 0.037774 0.962226 0.001462
81.000000 0.037654 0.962346 0.001375
82.000000 0.038208 0.961792 0.001403
83.000000 0.038774 0.961226 0.001463
84.000000 0.038845 0.961155 0.001464
85.000000 0.039795 0.960205 0.001453
86.000000 0.040198 0.959802 0.001550
87.000000 0.040188 0.959812 0.001507
88.000000 0.040957 0.959043 0.001462
89.000000 0.042150 0.957850 0.001571
90.000000 0.041838 0.958162 0.001470
91.000000 0.041777 0.958223 0.001528
92.000000 0.041913 0.958087 0.001452
93.000000 0.042637 0.957363 0.001551
94.000000 0.043170 0.956830 0.001575
95.000000 0.044441 0.955559 0.001669
96.000000 0.044096 0.955904 0.001629
97.000000 0.044726 0.955274 0.001606
98.000000 0.044981 0.955019 0.001559
99.000000 0.046155 0.953845 0.001726
100.000000 0.045942 0.954058 0.001760
101.000000 0.046367 0.953633 0.001693
102.000000 0.046373 0.953627 0.001552
103.000000 0.047609 0.952391 0.001708
104.000000 0.047556 0.952444 0.001846
105.000000 0.048740 0.951260 0.001772
106.000000 0.048280 0.951720 0.001920
107.000000 0.049219 0.950781 0.001914
108.000000 0.049886 0.950114 0.001783
109.000000 0.050031 0.949969 0.001775
110.000000 0.050570 0.949430 0.001859
111.000000 0.049851 0.950149 0.001808
112.000000 0.051081 0.948919 0.001827
113.000000 0.051577 0.948423 0.002083
114.000000 0.051650 0.948350 0.002032
115.000000 0.052173 0.947827 0.001852
116.000000 0.052841 0.947159 0.002147
117.000000 0.051506 0.948494 0.001765
118.000000 0.053664 0.946336 0.002027
119.000000 0.053493 0.946507 0.002118
120.000000 0.054412 0.945588 0.002015
121.000000 0.054637 0.945363 0.002045
122.000000 0.054494 0.945506 0.002155
123.000000 0.055171 0.944829 0.002307
124.000000 0.055216 0.944784 0.002023
125.000000 0.055705 0.944295 0.002071
126.000000 0.057059 0.942941 0.002261
127.000000 0.057007 0.942993 0.002237
128.000000 0.057462 0.942538 0.002302
129.000000 0.058208 0.941792 0.002220
130.000000 0.058340 0.941660 0.002198
131.000000 0.059256 0.940744 0.002346
132.000000 0.058394 0.941606 0.002229
133.000000 0.060461 0.939539 0.002629
134.000000 0.059124 0.940876 0.002379
135.000000 0.060234 0.939766 0.002326
136.000000 0.061451 0.938549 0.002556
137.000000 0.060466 0.939534 0.002440
138.000000 0.061864 0.938136 0.002473
139.000000 0.061655 0.938345 0.002725
140.000000 0.061757 0.938243 0.002643
141.000000 0.062466 0.937534 0.002553
142.000000 0.063571 0.936429 0.002618
143.000000 0.062731 0.937269 0.002492
144.000000 0.063691 0.936309 0.002815
145.000000 0.065491 0.934509 0.003072
146.000000 0.063939 0.936061 0.002774
147.000000 0.065959 0.934041 0.003118
148.000000 0.065504 0.934496 0.002880
149.000000 0.064919 0.935081 0.002786
150.000000 0.066188 0.933812 0.003013
151.000000 0.067224 0.932776 0.002976
152.000000 0.067996 0.932004 0.003247
153.000000 0.067818 0.932182 0.003078
154.000000 0.067969 0.932031 0.003062
155.000000 0.069239 0.930761 0.003482
156.000000 0.068485 0.931515 0.003148
157.000000 0.069402 0.930598 0.003091
158.000000 0.070570 0.929430 0.003320
159.000000 0.070547 0.929453 0.003003
