# k f_up f_down f_allD C_global_avg
2.000000 0.396677 0.461898 0.141425 0.785719
3.000000 0.406450 0.514033 0.079517 0.826142
4.000000 0.389686 0.516700 0.093615 0.804227
5.000000 0.373639 0.517399 0.108961 0.783817
6.000000 0.351611 0.515166 0.133223 0.754281
7.000000 0.343416 0.513298 0.143287 0.740772
8.000000 0.325407 0.529917 0.144676 0.737262
9.000000 0.328327 0.515370 0.156303 0.722176
10.000000 0.325072 0.512880 0.162048 0.712654
11.000000 0.312424 0.530545 0.157031 0.718078
12.000000 0.303061 0.533936 0.163004 0.710057
13.000000 0.310510 0.521136 0.168355 0.701078
14.000000 0.308025 0.525734 0.166241 0.700064
15.000000 0.300428 0.530796 0.168775 0.697458
16.000000 0.301692 0.523923 0.174385 0.689317
17.000000 0.288043 0.537107 0.174850 0.689088
18.000000 0.288975 0.540992 0.170034 0.693324
19.000000 0.287055 0.543530 0.169415 0.690606
20.000000 0.279769 0.542559 0.177672 0.681756
21.000000 0.283953 0.539915 0.176132 0.681411
22.000000 0.289589 0.543577 0.166834 0.688968
23.000000 0.282972 0.543551 0.173477 0.680770
24.000000 0.273377 0.551031 0.175592 0.678836
25.000000 0.272699 0.551851 0.175449 0.678245
26.000000 0.271195 0.552042 0.176763 0.675448
27.000000 0.268913 0.548092 0.182995 0.667890
28.000000 0.269864 0.554543 0.175593 0.674388
29.000000 0.269637 0.559370 0.170992 0.677634
30.000000 0.264683 0.560074 0.175242 0.673333
31.000000 0.262588 0.567681 0.169731 0.677914
32.000000 0.265718 0.558037 0.176245 0.669246
33.000000 0.258714 0.562939 0.178347 0.667123
34.000000 0.258785 0.567786 0.173428 0.671964
35.000000 0.258790 0.558256 0.182955 0.662200
36.000000 0.257713 0.570438 0.171848 0.670746
37.000000 0.253954 0.567744 0.178302 0.663573
38.000000 0.257433 0.574484 0.168083 0.672745
39.000000 0.253506 0.570698 0.175797 0.665541
40.000000 0.253880 0.568376 0.177744 0.662312
41.000000 0.252032 0.572782 0.175186 0.664873
42.000000 0.254564 0.572127 0.173308 0.664192
43.000000 0.257572 0.570516 0.171912 0.664969
44.000000 0.254561 0.569731 0.175709 0.660447
45.000000 0.250379 0.572160 0.177460 0.659854
46.000000 0.255643 0.565777 0.178580 0.655742
47.000000 0.242558 0.579332 0.178111 0.657843
48.000000 0.240924 0.584278 0.174797 0.661233
49.000000 0.247427 0.576448 0.176125 0.658465
