# k f_up f_allD C_global_avg
2.000000 0.692852 0.307148 0.584974
3.000000 0.823284 0.176716 0.572718
4.000000 0.685236 0.314764 0.386991
5.000000 0.574633 0.425367 0.266414
6.000000 0.515853 0.484147 0.204720
7.000000 0.458763 0.541237 0.154042
8.000000 0.420637 0.579363 0.122857
9.000000 0.391938 0.608062 0.103516
10.000000 0.374899 0.625101 0.088135
11.000000 0.376435 0.623565 0.084867
12.000000 0.354434 0.645566 0.071534
13.000000 0.357274 0.642726 0.070509
14.000000 0.340746 0.659254 0.062069
15.000000 0.340285 0.659715 0.060276
16.000000 0.328718 0.671282 0.054964
17.000000 0.325639 0.674361 0.051184
18.000000 0.325016 0.674984 0.050388
19.000000 0.320662 0.679338 0.047866
20.000000 0.314266 0.685734 0.044255
21.000000 0.315435 0.684565 0.043809
22.000000 0.315271 0.684729 0.043150
23.000000 0.306418 0.693582 0.039939
24.000000 0.301984 0.698016 0.038279
25.000000 0.310538 0.689462 0.040190
26.000000 0.298843 0.701157 0.036026
27.000000 0.307546 0.692454 0.036521
28.000000 0.292974 0.707026 0.034324
29.000000 0.303251 0.696749 0.036223
30.000000 0.307183 0.692817 0.036579
31.000000 0.300125 0.699875 0.033840
32.000000 0.297887 0.702113 0.033404
33.000000 0.292670 0.707330 0.031692
34.000000 0.297813 0.702187 0.032536
35.000000 0.299188 0.700812 0.031754
36.000000 0.295448 0.704552 0.031355
37.000000 0.298743 0.701257 0.032056
38.000000 0.296370 0.703630 0.031424
39.000000 0.288884 0.711116 0.029214
40.000000 0.293908 0.706092 0.030525
41.000000 0.291810 0.708190 0.029253
42.000000 0.295883 0.704117 0.030161
43.000000 0.288892 0.711108 0.028338
44.000000 0.291627 0.708373 0.028176
45.000000 0.294471 0.705529 0.029266
46.000000 0.287926 0.712074 0.029079
47.000000 0.288496 0.711504 0.027878
48.000000 0.294606 0.705394 0.028718
49.000000 0.281910 0.718090 0.026285
50.000000 0.291742 0.708258 0.027753
51.000000 0.288357 0.711643 0.026336
52.000000 0.295343 0.704657 0.028808
53.000000 0.291630 0.708370 0.028189
54.000000 0.290071 0.709929 0.026922
55.000000 0.286945 0.713055 0.026016
56.000000 0.297779 0.702221 0.029048
57.000000 0.285366 0.714634 0.025776
58.000000 0.289551 0.710449 0.026378
59.000000 0.291063 0.708937 0.026808
60.000000 0.290412 0.709588 0.026365
61.000000 0.289832 0.710168 0.025949
62.000000 0.284196 0.715804 0.025445
63.000000 0.286887 0.713113 0.026195
64.000000 0.288978 0.711022 0.026262
65.000000 0.282611 0.717389 0.025789
66.000000 0.288897 0.711103 0.026763
67.000000 0.286250 0.713750 0.025864
68.000000 0.288735 0.711265 0.025456
69.000000 0.289684 0.710316 0.025309
70.000000 0.283758 0.716242 0.024801
71.000000 0.286770 0.713230 0.025135
72.000000 0.283140 0.716860 0.024232
73.000000 0.289741 0.710259 0.026017
74.000000 0.289849 0.710151 0.025267
75.000000 0.286900 0.713100 0.024834
76.000000 0.283346 0.716654 0.023981
77.000000 0.281522 0.718478 0.023736
78.000000 0.286385 0.713615 0.023296
79.000000 0.286556 0.713444 0.024624
80.000000 0.288151 0.711849 0.024048
81.000000 0.286282 0.713718 0.024222
82.000000 0.286252 0.713748 0.024920
83.000000 0.280476 0.719524 0.023622
84.000000 0.291455 0.708545 0.024681
85.000000 0.282439 0.717561 0.023625
86.000000 0.282918 0.717082 0.023188
87.000000 0.282484 0.717516 0.023715
88.000000 0.287154 0.712846 0.024554
89.000000 0.285299 0.714701 0.024305
90.000000 0.279751 0.720249 0.023213
91.000000 0.280325 0.719675 0.022504
92.000000 0.286685 0.713315 0.024069
93.000000 0.284810 0.715190 0.023454
94.000000 0.281852 0.718148 0.023552
95.000000 0.290859 0.709141 0.025651
96.000000 0.284521 0.715479 0.023815
97.000000 0.282929 0.717071 0.023838
98.000000 0.281572 0.718428 0.023033
99.000000 0.280411 0.719589 0.023084
100.000000 0.285708 0.714292 0.024240
101.000000 0.282579 0.717421 0.023347
102.000000 0.279442 0.720558 0.023158
103.000000 0.282763 0.717237 0.023024
104.000000 0.285095 0.714905 0.024109
105.000000 0.279155 0.720845 0.022478
106.000000 0.294010 0.705990 0.025541
107.000000 0.283836 0.716164 0.023764
108.000000 0.283004 0.716996 0.023222
109.000000 0.282746 0.717254 0.023026
110.000000 0.280168 0.719832 0.022671
111.000000 0.278371 0.721629 0.022491
112.000000 0.283568 0.716432 0.023219
113.000000 0.281897 0.718103 0.022499
114.000000 0.282478 0.717522 0.022760
115.000000 0.276231 0.723769 0.022278
116.000000 0.281583 0.718417 0.022739
117.000000 0.283517 0.716483 0.022400
118.000000 0.280261 0.719739 0.021992
119.000000 0.286810 0.713190 0.023692
