# k f_up f_down f_allD C_global_avg
2.000000 0.295965 0.434684 0.269351 0.722193
3.000000 0.340690 0.613845 0.045464 0.942611
4.000000 0.362482 0.604842 0.032676 0.954571
5.000000 0.359273 0.610351 0.030376 0.955473
6.000000 0.349735 0.614721 0.035544 0.948537
7.000000 0.327652 0.632427 0.039922 0.942771
8.000000 0.325056 0.627981 0.046964 0.933535
9.000000 0.301473 0.643074 0.055453 0.923874
10.000000 0.290946 0.646847 0.062207 0.916316
11.000000 0.276330 0.654199 0.069471 0.908488
12.000000 0.266898 0.656848 0.076254 0.901116
13.000000 0.258550 0.656841 0.084609 0.891397
14.000000 0.252801 0.659288 0.087912 0.887657
15.000000 0.242198 0.664201 0.093601 0.881876
16.000000 0.241200 0.656320 0.102480 0.871699
17.000000 0.240228 0.649305 0.110467 0.863053
18.000000 0.232431 0.647556 0.120014 0.853030
19.000000 0.231533 0.648541 0.119926 0.852949
20.000000 0.227558 0.647269 0.125172 0.847121
21.000000 0.225137 0.642691 0.132172 0.839726
22.000000 0.219334 0.639858 0.140808 0.830521
23.000000 0.221491 0.636249 0.142260 0.828276
24.000000 0.216607 0.644770 0.138623 0.832029
25.000000 0.213827 0.644296 0.141877 0.828583
26.000000 0.213024 0.633210 0.153766 0.815981
27.000000 0.216617 0.627797 0.155587 0.813289
28.000000 0.210762 0.627757 0.161481 0.807026
29.000000 0.216977 0.619360 0.163663 0.803670
30.000000 0.215115 0.616941 0.167944 0.799446
31.000000 0.208989 0.618512 0.172499 0.795021
32.000000 0.209781 0.614346 0.175874 0.791186
33.000000 0.212225 0.607992 0.179783 0.786070
34.000000 0.211404 0.612003 0.176593 0.789758
35.000000 0.210642 0.604748 0.184611 0.780966
36.000000 0.207385 0.608548 0.184067 0.781717
37.000000 0.205020 0.605383 0.189597 0.775850
38.000000 0.209119 0.597687 0.193194 0.770876
39.000000 0.205969 0.594705 0.199327 0.764915
40.000000 0.210179 0.589740 0.200081 0.762931
41.000000 0.204781 0.592046 0.203174 0.760509
42.000000 0.205522 0.591579 0.202899 0.760346
43.000000 0.205400 0.589145 0.205455 0.757458
44.000000 0.212901 0.581353 0.205746 0.755852
45.000000 0.207023 0.586328 0.206649 0.755322
46.000000 0.205170 0.583591 0.211239 0.750931
47.000000 0.207974 0.573608 0.218418 0.742748
48.000000 0.204170 0.574038 0.221791 0.739629
49.000000 0.205852 0.568338 0.225810 0.734953
50.000000 0.208596 0.560991 0.230414 0.729038
51.000000 0.207199 0.564384 0.228418 0.731611
52.000000 0.209113 0.563559 0.227328 0.731740
53.000000 0.208898 0.565703 0.225400 0.733727
54.000000 0.203790 0.568123 0.228087 0.732136
55.000000 0.207222 0.564602 0.228176 0.730877
56.000000 0.205826 0.568743 0.225431 0.734022
57.000000 0.205855 0.558051 0.236094 0.722465
58.000000 0.207230 0.558585 0.234185 0.724223
59.000000 0.205831 0.557064 0.237106 0.721232
60.000000 0.206533 0.561411 0.232056 0.726176
61.000000 0.208725 0.543868 0.247407 0.709559
62.000000 0.207028 0.548680 0.244292 0.713008
63.000000 0.210362 0.547415 0.242223 0.714329
64.000000 0.204970 0.547272 0.247759 0.709287
65.000000 0.208053 0.551179 0.240768 0.716399
66.000000 0.206064 0.542195 0.251741 0.704753
67.000000 0.206409 0.544362 0.249229 0.707572
68.000000 0.206746 0.542863 0.250392 0.706064
69.000000 0.207760 0.537667 0.254573 0.701002
70.000000 0.207054 0.533124 0.259821 0.695450
71.000000 0.204667 0.537103 0.258230 0.697382
72.000000 0.210023 0.535573 0.254405 0.700247
73.000000 0.208637 0.531256 0.260107 0.693950
74.000000 0.207757 0.529276 0.262967 0.691341
75.000000 0.208103 0.528027 0.263870 0.690297
76.000000 0.207969 0.521033 0.270998 0.682019
77.000000 0.209016 0.524034 0.266950 0.686583
78.000000 0.207983 0.537464 0.254553 0.699498
79.000000 0.209270 0.526384 0.264346 0.688881
80.000000 0.209641 0.522090 0.268268 0.684370
81.000000 0.208028 0.517372 0.274600 0.677656
82.000000 0.207448 0.519766 0.272786 0.680115
83.000000 0.209130 0.524970 0.265901 0.686281
84.000000 0.211950 0.518063 0.269987 0.682197
85.000000 0.210601 0.512318 0.277080 0.674828
86.000000 0.207726 0.516998 0.275275 0.676428
87.000000 0.210327 0.514663 0.275010 0.676236
88.000000 0.212919 0.509384 0.277697 0.673564
89.000000 0.208810 0.519124 0.272065 0.679461
90.000000 0.210386 0.510717 0.278898 0.671837
91.000000 0.209922 0.512059 0.278019 0.672522
92.000000 0.211241 0.508854 0.279906 0.670511
93.000000 0.210450 0.518254 0.271296 0.679487
94.000000 0.206636 0.513806 0.279558 0.671353
95.000000 0.209660 0.515040 0.275300 0.675010
96.000000 0.207972 0.507677 0.284351 0.665364
97.000000 0.211301 0.504631 0.284068 0.664922
98.000000 0.210285 0.508611 0.281105 0.668396
99.000000 0.210096 0.500792 0.289112 0.659834
100.000000 0.212033 0.508657 0.279310 0.669838
101.000000 0.209087 0.503535 0.287377 0.662289
102.000000 0.209023 0.501958 0.289019 0.660070
103.000000 0.208886 0.514839 0.276275 0.672767
104.000000 0.211910 0.490220 0.297870 0.649853
105.000000 0.208587 0.493586 0.297827 0.650577
106.000000 0.208344 0.501424 0.290232 0.658118
107.000000 0.213298 0.503982 0.282720 0.665222
108.000000 0.212117 0.497580 0.290303 0.657581
109.000000 0.208508 0.494776 0.296716 0.651085
110.000000 0.209995 0.492535 0.297470 0.650300
111.000000 0.208910 0.496518 0.294572 0.652966
112.000000 0.213010 0.496893 0.290097 0.657404
113.000000 0.210617 0.499715 0.289668 0.657903
114.000000 0.211051 0.498941 0.290008 0.657472
115.000000 0.211392 0.488933 0.299675 0.646860
116.000000 0.208206 0.492934 0.298860 0.648561
117.000000 0.211027 0.495332 0.293641 0.653182
118.000000 0.210338 0.493520 0.296141 0.649808
119.000000 0.210376 0.495699 0.293926 0.652350
120.000000 0.209265 0.497888 0.292847 0.654198
121.000000 0.210327 0.497043 0.292630 0.653670
122.000000 0.209394 0.497304 0.293302 0.653666
123.000000 0.209768 0.492544 0.297688 0.648923
124.000000 0.207947 0.490334 0.301719 0.644731
125.000000 0.210233 0.486858 0.302910 0.642900
126.000000 0.210659 0.486057 0.303285 0.641693
127.000000 0.210351 0.498474 0.291175 0.654969
128.000000 0.208494 0.487878 0.303628 0.642214
129.000000 0.211541 0.479747 0.308712 0.636008
130.000000 0.211084 0.478264 0.310651 0.634275
131.000000 0.210807 0.491159 0.298034 0.646979
132.000000 0.211497 0.485527 0.302976 0.641691
133.000000 0.209251 0.482996 0.307752 0.637383
134.000000 0.212532 0.485216 0.302251 0.641791
135.000000 0.211368 0.478256 0.310376 0.633344
136.000000 0.212159 0.493674 0.294167 0.650827
