# k f_up f_down f_allD C_global_avg
2.000000 0.392383 0.465335 0.142282 0.784233
3.000000 0.447786 0.513762 0.038452 0.861623
4.000000 0.424397 0.530021 0.045581 0.841215
5.000000 0.401120 0.532412 0.066468 0.806979
6.000000 0.389157 0.538525 0.072319 0.792402
7.000000 0.378600 0.534976 0.086424 0.770660
8.000000 0.362786 0.540539 0.096675 0.754118
9.000000 0.348483 0.541629 0.109888 0.738515
10.000000 0.337047 0.557982 0.104971 0.741369
11.000000 0.343266 0.538343 0.118391 0.718722
12.000000 0.321500 0.560519 0.117981 0.722422
13.000000 0.330557 0.543685 0.125758 0.705471
14.000000 0.307230 0.565626 0.127144 0.708827
15.000000 0.310734 0.553133 0.136133 0.694542
16.000000 0.301368 0.578127 0.120505 0.712381
17.000000 0.295879 0.578561 0.125560 0.705553
18.000000 0.300423 0.569339 0.130239 0.694524
19.000000 0.289910 0.578501 0.131589 0.694921
20.000000 0.286046 0.578225 0.135730 0.690613
21.000000 0.281410 0.586654 0.131936 0.691644
22.000000 0.279938 0.589934 0.130128 0.691755
23.000000 0.276133 0.591449 0.132418 0.687538
24.000000 0.268710 0.605638 0.125653 0.697115
25.000000 0.267424 0.599725 0.132851 0.688677
26.000000 0.266469 0.607383 0.126148 0.692718
27.000000 0.264752 0.610069 0.125179 0.691320
28.000000 0.256165 0.615064 0.128771 0.688525
29.000000 0.250339 0.618657 0.131004 0.686449
30.000000 0.248236 0.627709 0.124055 0.692281
31.000000 0.249862 0.621424 0.128714 0.684662
32.000000 0.254518 0.620361 0.125121 0.684782
33.000000 0.239405 0.636545 0.124050 0.688850
34.000000 0.236710 0.646379 0.116912 0.695688
35.000000 0.235916 0.643493 0.120591 0.690971
36.000000 0.237777 0.643863 0.118360 0.690102
37.000000 0.228870 0.652058 0.119071 0.691157
38.000000 0.227801 0.656282 0.115917 0.693194
39.000000 0.229215 0.654264 0.116521 0.689825
40.000000 0.227383 0.653553 0.119064 0.686061
41.000000 0.223473 0.660995 0.115532 0.688367
42.000000 0.224506 0.660482 0.115012 0.687318
43.000000 0.217501 0.671582 0.110916 0.691666
44.000000 0.220156 0.668712 0.111132 0.690309
45.000000 0.212476 0.676807 0.110717 0.691078
46.000000 0.218245 0.668614 0.113141 0.684486
47.000000 0.208332 0.684703 0.106965 0.693693
48.000000 0.209041 0.680397 0.110562 0.688935
49.000000 0.198299 0.701873 0.099828 0.701192
50.000000 0.199905 0.690732 0.109363 0.689569
51.000000 0.198613 0.697160 0.104227 0.694617
52.000000 0.199919 0.695472 0.104608 0.691833
53.000000 0.198066 0.695736 0.106198 0.689535
54.000000 0.196049 0.698207 0.105744 0.688503
55.000000 0.198766 0.698856 0.102378 0.690454
56.000000 0.203518 0.692662 0.103820 0.686786
57.000000 0.192242 0.710233 0.097525 0.694547
58.000000 0.190997 0.704284 0.104719 0.686184
59.000000 0.186202 0.711440 0.102357 0.687570
60.000000 0.193365 0.704844 0.101790 0.685311
61.000000 0.185720 0.711920 0.102361 0.685554
62.000000 0.186093 0.717246 0.096660 0.690752
63.000000 0.188889 0.710725 0.100386 0.685062
64.000000 0.187619 0.710132 0.102250 0.682122
65.000000 0.181268 0.723793 0.094939 0.690542
66.000000 0.180753 0.720350 0.098897 0.685530
67.000000 0.184062 0.721444 0.094494 0.687593
68.000000 0.171087 0.735992 0.092921 0.692792
69.000000 0.179068 0.726630 0.094301 0.687785
70.000000 0.177555 0.730153 0.092292 0.688200
71.000000 0.174106 0.735935 0.089959 0.689718
72.000000 0.176777 0.730430 0.092793 0.686361
73.000000 0.172955 0.731617 0.095428 0.683279
74.000000 0.176026 0.731840 0.092134 0.684006
75.000000 0.168476 0.732050 0.099475 0.679357
76.000000 0.172252 0.730270 0.097478 0.678944
77.000000 0.167237 0.740599 0.092164 0.685190
78.000000 0.162601 0.753096 0.084303 0.692185
79.000000 0.166383 0.741196 0.092421 0.682317
80.000000 0.170207 0.735772 0.094021 0.678313
81.000000 0.167094 0.745087 0.087819 0.684984
82.000000 0.169686 0.736343 0.093971 0.676255
83.000000 0.160085 0.750749 0.089166 0.684267
84.000000 0.161601 0.749759 0.088640 0.682168
85.000000 0.161128 0.748317 0.090555 0.680080
86.000000 0.158691 0.752650 0.088660 0.681498
87.000000 0.162700 0.745246 0.092054 0.676688
88.000000 0.162531 0.748716 0.088752 0.678962
89.000000 0.157349 0.761162 0.081489 0.685628
