# k f_up f_down f_allD C_global_avg
2.000000 0.294631 0.432596 0.272772 0.718762
3.000000 0.338901 0.610073 0.051025 0.936636
4.000000 0.353324 0.608667 0.038010 0.948886
5.000000 0.345740 0.617062 0.037199 0.948168
6.000000 0.333790 0.623554 0.042656 0.940804
7.000000 0.318952 0.634946 0.046102 0.936127
8.000000 0.295504 0.646146 0.058350 0.922443
9.000000 0.281693 0.653774 0.064533 0.915057
10.000000 0.271784 0.658984 0.069232 0.909282
11.000000 0.259156 0.659763 0.081081 0.896609
12.000000 0.246479 0.662576 0.090945 0.886070
13.000000 0.241130 0.666649 0.092220 0.884456
14.000000 0.234119 0.660123 0.105757 0.869664
15.000000 0.227922 0.664614 0.107465 0.867541
16.000000 0.220884 0.666062 0.113054 0.861871
17.000000 0.213519 0.664196 0.122285 0.852243
18.000000 0.218255 0.652556 0.129189 0.843417
19.000000 0.206517 0.661407 0.132076 0.841497
20.000000 0.207733 0.659739 0.132528 0.840391
21.000000 0.201574 0.654952 0.143475 0.829056
22.000000 0.201126 0.652753 0.146121 0.826208
23.000000 0.201906 0.642158 0.155935 0.814951
24.000000 0.196920 0.650742 0.152339 0.819379
25.000000 0.197784 0.640511 0.161704 0.808718
26.000000 0.197144 0.633466 0.169390 0.800174
27.000000 0.197520 0.633655 0.168825 0.800712
28.000000 0.193466 0.644560 0.161974 0.807631
29.000000 0.191157 0.641387 0.167456 0.801946
30.000000 0.192710 0.620546 0.186744 0.781326
31.000000 0.189757 0.628391 0.181852 0.786330
32.000000 0.189264 0.622214 0.188522 0.779356
33.000000 0.189780 0.622962 0.187258 0.780321
34.000000 0.186296 0.626542 0.187162 0.780553
35.000000 0.188275 0.614247 0.197478 0.768865
36.000000 0.189827 0.613263 0.196910 0.769366
37.000000 0.188530 0.612941 0.198529 0.767315
38.000000 0.186008 0.613308 0.200684 0.765095
39.000000 0.185677 0.608732 0.205591 0.760248
40.000000 0.188347 0.607075 0.204578 0.760124
41.000000 0.185304 0.603113 0.211583 0.752936
42.000000 0.187546 0.599434 0.213020 0.751081
43.000000 0.186227 0.610105 0.203668 0.761049
44.000000 0.186242 0.594175 0.219583 0.743996
45.000000 0.184747 0.604039 0.211214 0.752802
46.000000 0.186287 0.596082 0.217631 0.745866
47.000000 0.183314 0.589935 0.226750 0.736224
48.000000 0.183442 0.592251 0.224307 0.738431
49.000000 0.184621 0.586153 0.229226 0.733092
50.000000 0.183213 0.586047 0.230739 0.731865
51.000000 0.183735 0.583810 0.232454 0.729368
52.000000 0.184037 0.583905 0.232058 0.729706
53.000000 0.185750 0.582067 0.232183 0.729259
54.000000 0.183390 0.579926 0.236685 0.724517
55.000000 0.185295 0.578007 0.236698 0.724192
56.000000 0.185114 0.575648 0.239239 0.720761
57.000000 0.184868 0.576937 0.238196 0.722193
58.000000 0.182781 0.572980 0.244239 0.715661
59.000000 0.184308 0.579469 0.236223 0.723582
60.000000 0.184798 0.581998 0.233204 0.727163
61.000000 0.187626 0.570119 0.242255 0.716679
62.000000 0.183250 0.567369 0.249381 0.709928
63.000000 0.185155 0.566606 0.248238 0.710754
64.000000 0.182669 0.557948 0.259383 0.699112
65.000000 0.184563 0.558838 0.256598 0.701250
66.000000 0.182203 0.565380 0.252417 0.706265
67.000000 0.182778 0.558600 0.258621 0.699000
68.000000 0.183750 0.562102 0.254148 0.703479
69.000000 0.184055 0.560231 0.255714 0.702152
70.000000 0.185782 0.552558 0.261660 0.695573
71.000000 0.185218 0.548422 0.266361 0.690336
72.000000 0.182740 0.554260 0.263000 0.694069
73.000000 0.186527 0.552818 0.260656 0.695763
74.000000 0.187819 0.545359 0.266822 0.688929
75.000000 0.183369 0.546551 0.270080 0.685800
76.000000 0.182910 0.549479 0.267611 0.688150
77.000000 0.187867 0.550587 0.261545 0.694032
78.000000 0.186661 0.543338 0.270001 0.685402
79.000000 0.185661 0.542211 0.272129 0.683666
80.000000 0.185469 0.549409 0.265122 0.690481
81.000000 0.183301 0.533526 0.283173 0.671552
82.000000 0.185089 0.537993 0.276918 0.677772
83.000000 0.185796 0.537183 0.277021 0.677312
84.000000 0.187060 0.537767 0.275173 0.679108
85.000000 0.185717 0.535973 0.278310 0.675553
86.000000 0.186745 0.544019 0.269236 0.684494
87.000000 0.183605 0.534671 0.281724 0.672039
88.000000 0.184349 0.534092 0.281559 0.672017
89.000000 0.185302 0.536680 0.278018 0.675507
90.000000 0.184989 0.530839 0.284172 0.669297
91.000000 0.185073 0.539195 0.275732 0.677898
92.000000 0.182358 0.541538 0.276104 0.677312
93.000000 0.185144 0.532915 0.281942 0.670885
94.000000 0.188044 0.531894 0.280062 0.672658
95.000000 0.186698 0.536407 0.276895 0.675675
96.000000 0.188405 0.528964 0.282631 0.669266
97.000000 0.186946 0.528402 0.284652 0.666893
98.000000 0.186264 0.532106 0.281629 0.670904
99.000000 0.184736 0.530246 0.285019 0.666893
100.000000 0.184573 0.521096 0.294330 0.656950
101.000000 0.183459 0.534081 0.282461 0.670496
102.000000 0.184218 0.527110 0.288672 0.663111
103.000000 0.183920 0.535746 0.280334 0.671981
104.000000 0.184750 0.528728 0.286521 0.664685
105.000000 0.187145 0.518973 0.293882 0.656357
106.000000 0.185888 0.532065 0.282047 0.669159
107.000000 0.185126 0.522327 0.292547 0.658086
108.000000 0.184370 0.521965 0.293665 0.657019
109.000000 0.186092 0.529977 0.283931 0.667267
110.000000 0.184611 0.523025 0.292364 0.658351
111.000000 0.184034 0.518666 0.297301 0.653129
112.000000 0.184354 0.522536 0.293110 0.657450
113.000000 0.184297 0.522902 0.292801 0.657416
114.000000 0.184331 0.525455 0.290214 0.660234
115.000000 0.184524 0.528213 0.287263 0.663337
116.000000 0.183141 0.522678 0.294181 0.655550
117.000000 0.182010 0.519774 0.298216 0.651847
118.000000 0.186414 0.520162 0.293424 0.655807
119.000000 0.182372 0.514406 0.303222 0.645914
