# k f_up f_down f_allD C_global_avg
2.000000 0.395292 0.464184 0.140524 0.786516
3.000000 0.446327 0.527078 0.026595 0.877450
4.000000 0.434167 0.537070 0.028763 0.860695
5.000000 0.423795 0.538071 0.038134 0.836226
6.000000 0.404334 0.544184 0.051482 0.811171
7.000000 0.394000 0.539159 0.066841 0.783489
8.000000 0.379890 0.547011 0.073099 0.770846
9.000000 0.357688 0.560723 0.081589 0.760411
10.000000 0.355769 0.555214 0.089017 0.746704
11.000000 0.346664 0.561910 0.091426 0.741587
12.000000 0.334875 0.566394 0.098731 0.732030
13.000000 0.335891 0.566885 0.097225 0.729479
14.000000 0.327251 0.572957 0.099792 0.725060
15.000000 0.322216 0.569485 0.108298 0.715619
16.000000 0.320142 0.572284 0.107574 0.710847
17.000000 0.313204 0.579489 0.107308 0.711504
18.000000 0.308580 0.584714 0.106706 0.709564
19.000000 0.298485 0.595125 0.106389 0.712818
20.000000 0.297778 0.593864 0.108358 0.706497
21.000000 0.287368 0.606739 0.105892 0.711750
22.000000 0.286145 0.603001 0.110854 0.704057
23.000000 0.280073 0.615934 0.103993 0.711821
24.000000 0.279793 0.613106 0.107101 0.704551
25.000000 0.270100 0.625849 0.104051 0.710682
26.000000 0.271694 0.619663 0.108644 0.702933
27.000000 0.265014 0.628559 0.106427 0.703915
28.000000 0.266726 0.626592 0.106682 0.701518
29.000000 0.257956 0.642304 0.099740 0.711694
30.000000 0.247160 0.659224 0.093616 0.720718
31.000000 0.245177 0.658909 0.095914 0.714782
32.000000 0.240980 0.659196 0.099824 0.711621
33.000000 0.242454 0.664940 0.092606 0.716353
34.000000 0.237996 0.665680 0.096324 0.711476
35.000000 0.239447 0.661352 0.099201 0.704899
36.000000 0.234928 0.675526 0.089547 0.715800
37.000000 0.226949 0.677835 0.095216 0.710726
38.000000 0.219163 0.687747 0.093090 0.714147
39.000000 0.220969 0.684654 0.094377 0.709896
40.000000 0.218974 0.690067 0.090958 0.711573
41.000000 0.212558 0.706715 0.080727 0.723959
42.000000 0.205999 0.709440 0.084562 0.719860
43.000000 0.205938 0.707324 0.086738 0.716311
44.000000 0.204367 0.714170 0.081463 0.720551
45.000000 0.204113 0.714931 0.080956 0.719326
46.000000 0.198663 0.718192 0.083146 0.717174
47.000000 0.195722 0.724367 0.079910 0.720020
48.000000 0.187780 0.732253 0.079968 0.720909
49.000000 0.190402 0.736500 0.073098 0.725851
50.000000 0.189321 0.725670 0.085009 0.711450
51.000000 0.186053 0.738850 0.075097 0.720028
52.000000 0.180180 0.744525 0.075295 0.720515
53.000000 0.175879 0.750078 0.074043 0.721117
54.000000 0.180860 0.744533 0.074607 0.717052
55.000000 0.183461 0.741297 0.075242 0.713718
56.000000 0.176430 0.751218 0.072352 0.718123
57.000000 0.174295 0.749715 0.075990 0.712998
58.000000 0.170514 0.755878 0.073608 0.716590
59.000000 0.161060 0.778215 0.060725 0.729776
60.000000 0.166131 0.764924 0.068945 0.720830
61.000000 0.160616 0.775277 0.064108 0.724342
62.000000 0.161588 0.775135 0.063277 0.723291
63.000000 0.159183 0.773627 0.067190 0.718798
64.000000 0.153291 0.783639 0.063070 0.724468
65.000000 0.151848 0.786570 0.061582 0.723952
66.000000 0.150575 0.782333 0.067092 0.716820
67.000000 0.145289 0.797879 0.056832 0.729017
68.000000 0.152053 0.786680 0.061266 0.719791
69.000000 0.146203 0.791901 0.061896 0.719581
70.000000 0.144980 0.797860 0.057159 0.723411
71.000000 0.142515 0.801515 0.055969 0.724467
72.000000 0.140193 0.807109 0.052698 0.726459
73.000000 0.138532 0.809148 0.052320 0.725885
74.000000 0.139561 0.805532 0.054907 0.723152
75.000000 0.138242 0.804115 0.057643 0.718361
