# k f_up f_down f_allD C_global_avg
2.000000 0.395490 0.449240 0.155271 0.775932
3.000000 0.379275 0.481073 0.139652 0.781565
4.000000 0.359168 0.478401 0.162431 0.756631
5.000000 0.345270 0.481923 0.172807 0.744323
6.000000 0.329607 0.487855 0.182538 0.732977
7.000000 0.319941 0.489166 0.190893 0.723189
8.000000 0.324915 0.482057 0.193028 0.718050
9.000000 0.313714 0.489344 0.196942 0.713623
10.000000 0.305567 0.490437 0.203996 0.705031
11.000000 0.305809 0.493558 0.200634 0.707358
12.000000 0.312630 0.476977 0.210393 0.694940
13.000000 0.302289 0.488267 0.209444 0.695577
14.000000 0.300302 0.493235 0.206464 0.697224
15.000000 0.302324 0.482872 0.214804 0.687582
16.000000 0.300394 0.489918 0.209687 0.692113
17.000000 0.298805 0.484380 0.216816 0.683833
18.000000 0.292523 0.492210 0.215267 0.684762
19.000000 0.283435 0.496646 0.219919 0.679432
20.000000 0.291006 0.492272 0.216721 0.680916
21.000000 0.291774 0.485181 0.223045 0.674158
22.000000 0.285875 0.492128 0.221997 0.675609
23.000000 0.289285 0.491571 0.219144 0.676832
24.000000 0.284673 0.490638 0.224689 0.670755
25.000000 0.284623 0.486884 0.228493 0.665980
26.000000 0.288770 0.485141 0.226090 0.668449
27.000000 0.282035 0.484613 0.233352 0.660057
28.000000 0.280349 0.486947 0.232704 0.660768
29.000000 0.287456 0.483224 0.229320 0.662380
