# k f_up f_down f_allD C_global_avg
2.000000 0.293122 0.424644 0.282234 0.709676
3.000000 0.293119 0.584288 0.122593 0.866319
4.000000 0.275728 0.614563 0.109708 0.878911
5.000000 0.263236 0.622044 0.114720 0.873079
6.000000 0.241229 0.633549 0.125222 0.861566
7.000000 0.221673 0.643536 0.134791 0.851339
8.000000 0.203042 0.649222 0.147736 0.837587
9.000000 0.189869 0.657542 0.152588 0.832283
10.000000 0.177073 0.660287 0.162640 0.821714
11.000000 0.170576 0.653750 0.175674 0.807562
12.000000 0.164003 0.655849 0.180147 0.802945
13.000000 0.154664 0.652017 0.193319 0.789310
14.000000 0.147082 0.657720 0.195198 0.787266
15.000000 0.143303 0.651674 0.205023 0.776602
16.000000 0.136305 0.652733 0.210961 0.770745
17.000000 0.137321 0.650798 0.211881 0.769190
18.000000 0.132485 0.645505 0.222010 0.758705
19.000000 0.128996 0.651007 0.219997 0.760582
20.000000 0.126696 0.648418 0.224886 0.755278
21.000000 0.124166 0.647325 0.228509 0.751294
22.000000 0.121776 0.644915 0.233309 0.746199
23.000000 0.118951 0.646072 0.234977 0.744407
24.000000 0.118459 0.641135 0.240406 0.738306
25.000000 0.118495 0.639119 0.242386 0.736078
26.000000 0.115923 0.638812 0.245265 0.733280
27.000000 0.113337 0.642241 0.244422 0.733875
28.000000 0.112790 0.641650 0.245560 0.732666
29.000000 0.112792 0.638837 0.248371 0.729337
30.000000 0.109653 0.641837 0.248510 0.729098
31.000000 0.110339 0.639743 0.249917 0.727747
32.000000 0.109739 0.635137 0.255124 0.721984
33.000000 0.110448 0.628733 0.260819 0.715887
34.000000 0.108365 0.628323 0.263312 0.713314
35.000000 0.107168 0.629461 0.263371 0.713148
36.000000 0.105779 0.628470 0.265751 0.710520
37.000000 0.107011 0.633241 0.259748 0.716571
38.000000 0.103943 0.632742 0.263315 0.712814
39.000000 0.104835 0.632967 0.262198 0.713907
