# k f_up f_down f_allD C_global_avg
2.000000 0.394440 0.463626 0.141934 0.784409
3.000000 0.462097 0.515809 0.022093 0.883239
4.000000 0.444364 0.532688 0.022949 0.868572
5.000000 0.435660 0.533565 0.030775 0.844538
6.000000 0.412234 0.548173 0.039593 0.822862
7.000000 0.406198 0.539987 0.053815 0.796712
8.000000 0.384497 0.558847 0.056657 0.789606
9.000000 0.377441 0.563579 0.058981 0.782118
10.000000 0.364430 0.565789 0.069782 0.766383
11.000000 0.358871 0.567456 0.073673 0.757119
12.000000 0.348628 0.575947 0.075425 0.755863
13.000000 0.345497 0.572891 0.081612 0.743993
14.000000 0.339435 0.575395 0.085170 0.737233
15.000000 0.336295 0.575348 0.088357 0.730689
16.000000 0.324385 0.586922 0.088693 0.733895
17.000000 0.323670 0.587045 0.089285 0.728128
18.000000 0.313800 0.595348 0.090852 0.730346
19.000000 0.307508 0.604933 0.087560 0.732268
20.000000 0.306334 0.606275 0.087392 0.728431
21.000000 0.297265 0.616476 0.086259 0.730642
22.000000 0.299112 0.610667 0.090221 0.725322
23.000000 0.290792 0.626316 0.082892 0.734027
24.000000 0.286126 0.628449 0.085425 0.729444
25.000000 0.282339 0.635455 0.082206 0.733161
26.000000 0.286043 0.628752 0.085205 0.725620
27.000000 0.268774 0.652201 0.079026 0.736902
28.000000 0.267999 0.654398 0.077603 0.737586
29.000000 0.262309 0.653443 0.084248 0.728705
30.000000 0.264842 0.649256 0.085902 0.723859
31.000000 0.258884 0.662135 0.078981 0.731178
32.000000 0.249087 0.678997 0.071915 0.742567
33.000000 0.249121 0.672969 0.077909 0.733802
34.000000 0.244047 0.682911 0.073042 0.739229
35.000000 0.236845 0.689255 0.073900 0.738199
36.000000 0.233820 0.695458 0.070722 0.740913
37.000000 0.229526 0.695357 0.075117 0.735823
38.000000 0.227424 0.696773 0.075803 0.734895
39.000000 0.222296 0.706557 0.071147 0.737228
40.000000 0.215391 0.716741 0.067868 0.742225
41.000000 0.214481 0.716825 0.068694 0.740681
42.000000 0.210418 0.725907 0.063674 0.745795
43.000000 0.204293 0.730821 0.064886 0.743916
44.000000 0.207144 0.729472 0.063384 0.742021
45.000000 0.196566 0.743335 0.060100 0.748613
46.000000 0.197157 0.740610 0.062233 0.743591
47.000000 0.188779 0.747404 0.063817 0.741459
48.000000 0.190585 0.748420 0.060995 0.742256
49.000000 0.186157 0.753550 0.060293 0.743256
50.000000 0.181839 0.764430 0.053731 0.748915
51.000000 0.177189 0.768524 0.054287 0.749485
52.000000 0.175327 0.767078 0.057594 0.744516
53.000000 0.170860 0.776430 0.052710 0.749752
