# k f_up f_allD C_global_avg
2.000000 0.013396 0.986604 0.012354
3.000000 0.150829 0.849171 0.146962
4.000000 0.088771 0.911229 0.085266
5.000000 0.022215 0.977785 0.019285
6.000000 0.013500 0.986500 0.010390
7.000000 0.007886 0.992114 0.004571
8.000000 0.006269 0.993731 0.002631
9.000000 0.006347 0.993653 0.002306
10.000000 0.006843 0.993157 0.002314
11.000000 0.007552 0.992448 0.002561
12.000000 0.007293 0.992707 0.001909
13.000000 0.007986 0.992014 0.002113
14.000000 0.008227 0.991773 0.001968
15.000000 0.008553 0.991447 0.001913
16.000000 0.009197 0.990803 0.002047
17.000000 0.009831 0.990169 0.002144
18.000000 0.010278 0.989722 0.002217
19.000000 0.010404 0.989596 0.001869
20.000000 0.011145 0.988855 0.002209
21.000000 0.011675 0.988325 0.002279
22.000000 0.012339 0.987661 0.002371
23.000000 0.012399 0.987601 0.002139
24.000000 0.012861 0.987139 0.002155
25.000000 0.013608 0.986392 0.002325
26.000000 0.014160 0.985840 0.002580
27.000000 0.014711 0.985289 0.002610
28.000000 0.014997 0.985003 0.002557
29.000000 0.015791 0.984209 0.002944
30.000000 0.016189 0.983811 0.002773
31.000000 0.017755 0.982245 0.003795
32.000000 0.018072 0.981928 0.003681
33.000000 0.017892 0.982108 0.003068
34.000000 0.018675 0.981325 0.003401
35.000000 0.019112 0.980888 0.003456
36.000000 0.019918 0.980082 0.004178
37.000000 0.020559 0.979441 0.004004
38.000000 0.020667 0.979333 0.004159
39.000000 0.021608 0.978392 0.004334
40.000000 0.022177 0.977823 0.004461
41.000000 0.023076 0.976924 0.004773
42.000000 0.023690 0.976310 0.005353
43.000000 0.024275 0.975725 0.005326
44.000000 0.024889 0.975111 0.005573
45.000000 0.025220 0.974780 0.005812
46.000000 0.025751 0.974249 0.005729
47.000000 0.026472 0.973528 0.005931
48.000000 0.027647 0.972353 0.007042
49.000000 0.027910 0.972090 0.006523
50.000000 0.028718 0.971282 0.007137
51.000000 0.030468 0.969532 0.008216
52.000000 0.030311 0.969689 0.007836
53.000000 0.030804 0.969196 0.007759
54.000000 0.031030 0.968970 0.007913
55.000000 0.031657 0.968343 0.008112
56.000000 0.032026 0.967974 0.008224
57.000000 0.033287 0.966713 0.008685
58.000000 0.034062 0.965938 0.009042
59.000000 0.036191 0.963809 0.010646
