# k f_up f_down f_allD C_global_avg
2.000000 0.395720 0.461904 0.142376 0.784221
3.000000 0.452969 0.528026 0.019005 0.891215
4.000000 0.448255 0.535577 0.016168 0.880164
5.000000 0.434007 0.546818 0.019175 0.863741
6.000000 0.422617 0.552146 0.025238 0.846287
7.000000 0.393204 0.574428 0.032368 0.832658
8.000000 0.389262 0.569822 0.040916 0.813289
9.000000 0.382041 0.579220 0.038739 0.812363
10.000000 0.375446 0.576844 0.047710 0.794783
11.000000 0.370734 0.579106 0.050160 0.788136
12.000000 0.361549 0.583745 0.054706 0.780877
13.000000 0.361490 0.580390 0.058120 0.771632
14.000000 0.356140 0.582142 0.061718 0.766153
15.000000 0.347184 0.592424 0.060391 0.768091
16.000000 0.342598 0.593535 0.063867 0.760588
17.000000 0.336079 0.595791 0.068130 0.755166
18.000000 0.334514 0.599170 0.066316 0.755419
19.000000 0.333696 0.598441 0.067863 0.750306
20.000000 0.325191 0.605997 0.068811 0.750210
21.000000 0.320643 0.612113 0.067244 0.751653
22.000000 0.318240 0.612299 0.069461 0.749093
23.000000 0.312457 0.621592 0.065951 0.750801
24.000000 0.307938 0.624556 0.067506 0.749791
25.000000 0.300762 0.627566 0.071671 0.745069
26.000000 0.297287 0.637332 0.065381 0.753524
27.000000 0.287719 0.653428 0.058853 0.762574
28.000000 0.287595 0.647488 0.064916 0.752040
29.000000 0.287734 0.651762 0.060504 0.755535
30.000000 0.278216 0.660204 0.061580 0.756407
31.000000 0.278839 0.654877 0.066283 0.746006
32.000000 0.269302 0.669249 0.061449 0.755812
33.000000 0.259135 0.681276 0.059589 0.760116
34.000000 0.257020 0.682547 0.060433 0.757526
35.000000 0.258523 0.685687 0.055790 0.759978
36.000000 0.247427 0.699034 0.053539 0.763533
37.000000 0.246377 0.694332 0.059292 0.756819
38.000000 0.238833 0.703629 0.057538 0.759398
39.000000 0.231299 0.718458 0.050242 0.769590
40.000000 0.225191 0.727939 0.046870 0.773754
41.000000 0.230013 0.721740 0.048248 0.766616
42.000000 0.218556 0.733721 0.047723 0.770261
43.000000 0.216981 0.737283 0.045737 0.771086
44.000000 0.213392 0.737175 0.049434 0.765953
45.000000 0.204874 0.751144 0.043982 0.773067
46.000000 0.202672 0.755300 0.042028 0.773669
47.000000 0.199942 0.756104 0.043955 0.770156
48.000000 0.196592 0.755871 0.047537 0.764895
49.000000 0.191036 0.771429 0.037535 0.776841
50.000000 0.183649 0.779217 0.037135 0.779488
51.000000 0.178871 0.783041 0.038087 0.777670
52.000000 0.180888 0.782679 0.036433 0.775882
53.000000 0.167483 0.801840 0.030676 0.786106
54.000000 0.168027 0.798679 0.033293 0.779458
55.000000 0.166177 0.799852 0.033971 0.778271
56.000000 0.164488 0.802624 0.032888 0.775550
57.000000 0.159060 0.808456 0.032484 0.777919
58.000000 0.153432 0.819191 0.027377 0.784502
59.000000 0.147025 0.821614 0.031362 0.779132
60.000000 0.147338 0.824164 0.028497 0.780788
61.000000 0.144575 0.828622 0.026803 0.780709
62.000000 0.141612 0.833022 0.025366 0.781061
63.000000 0.140853 0.829684 0.029463 0.775692
64.000000 0.136495 0.835385 0.028120 0.776431
