# k f_up f_allD C_global_avg
2.000000 0.399089 0.600911 0.389463
3.000000 0.339034 0.660966 0.299861
4.000000 0.158514 0.841486 0.122170
5.000000 0.074527 0.925473 0.044850
6.000000 0.045494 0.954506 0.020611
7.000000 0.037742 0.962258 0.014032
8.000000 0.034251 0.965749 0.010909
9.000000 0.031161 0.968839 0.008638
10.000000 0.030230 0.969770 0.007454
11.000000 0.029251 0.970749 0.006488
12.000000 0.028070 0.971930 0.005615
13.000000 0.027765 0.972235 0.005090
14.000000 0.027155 0.972845 0.004595
15.000000 0.026839 0.973161 0.004205
16.000000 0.026637 0.973363 0.003887
17.000000 0.026740 0.973260 0.003657
18.000000 0.026370 0.973630 0.003387
19.000000 0.026340 0.973660 0.003197
20.000000 0.025646 0.974354 0.002934
21.000000 0.026145 0.973855 0.002852
22.000000 0.025766 0.974234 0.002674
23.000000 0.025702 0.974298 0.002535
24.000000 0.026168 0.973832 0.002476
25.000000 0.025898 0.974102 0.002345
26.000000 0.025807 0.974193 0.002240
27.000000 0.025325 0.974675 0.002110
28.000000 0.025461 0.974539 0.002044
29.000000 0.025788 0.974212 0.001998
30.000000 0.024934 0.975066 0.001861
31.000000 0.025222 0.974778 0.001825
32.000000 0.025352 0.974648 0.001772
33.000000 0.025568 0.974432 0.001731
34.000000 0.024795 0.975205 0.001625
35.000000 0.024648 0.975352 0.001565
36.000000 0.025109 0.974891 0.001551
37.000000 0.024785 0.975215 0.001486
38.000000 0.024968 0.975032 0.001459
39.000000 0.025200 0.974800 0.001435
40.000000 0.024976 0.975024 0.001382
41.000000 0.025336 0.974664 0.001369
42.000000 0.024525 0.975475 0.001290
43.000000 0.025219 0.974781 0.001298
44.000000 0.024432 0.975568 0.001225
45.000000 0.025004 0.974996 0.001227
46.000000 0.024836 0.975164 0.001190
47.000000 0.025146 0.974854 0.001182
48.000000 0.025093 0.974907 0.001153
49.000000 0.025313 0.974687 0.001142
50.000000 0.025145 0.974855 0.001109
51.000000 0.024955 0.975045 0.001077
52.000000 0.024851 0.975149 0.001051
53.000000 0.024772 0.975228 0.001028
54.000000 0.024632 0.975368 0.001003
55.000000 0.024867 0.975133 0.000994
56.000000 0.025031 0.974969 0.000983
57.000000 0.024949 0.975051 0.000963
58.000000 0.025076 0.974924 0.000949
59.000000 0.024911 0.975089 0.000926
60.000000 0.025190 0.974810 0.000922
61.000000 0.024836 0.975164 0.000894
62.000000 0.024837 0.975163 0.000877
63.000000 0.024966 0.975034 0.000869
64.000000 0.024954 0.975046 0.000854
65.000000 0.025467 0.974533 0.000859
66.000000 0.025105 0.974895 0.000833
67.000000 0.025194 0.974806 0.000824
68.000000 0.025023 0.974977 0.000808
69.000000 0.025050 0.974950 0.000795
70.000000 0.024628 0.975372 0.000771
71.000000 0.024579 0.975421 0.000756
72.000000 0.024775 0.975225 0.000753
73.000000 0.024909 0.975091 0.000747
74.000000 0.024616 0.975384 0.000727
75.000000 0.024944 0.975056 0.000728
76.000000 0.025303 0.974697 0.000728
77.000000 0.024589 0.975411 0.000696
78.000000 0.024961 0.975039 0.000700
79.000000 0.024391 0.975609 0.000673
80.000000 0.024744 0.975256 0.000676
81.000000 0.024580 0.975420 0.000662
82.000000 0.024827 0.975173 0.000661
83.000000 0.024367 0.975633 0.000639
84.000000 0.024483 0.975517 0.000634
85.000000 0.024342 0.975658 0.000624
86.000000 0.024891 0.975109 0.000631
87.000000 0.024758 0.975242 0.000621
88.000000 0.024438 0.975562 0.000605
89.000000 0.024764 0.975236 0.000608
90.000000 0.024423 0.975577 0.000592
91.000000 0.024583 0.975417 0.000588
92.000000 0.024850 0.975150 0.000589
93.000000 0.024483 0.975517 0.000573
94.000000 0.024617 0.975383 0.000570
95.000000 0.024889 0.975111 0.000571
96.000000 0.024515 0.975485 0.000555
97.000000 0.024795 0.975205 0.000557
98.000000 0.024727 0.975273 0.000549
99.000000 0.024608 0.975392 0.000541
100.000000 0.024367 0.975633 0.000530
101.000000 0.024618 0.975382 0.000530
102.000000 0.024558 0.975442 0.000524
103.000000 0.024710 0.975290 0.000522
104.000000 0.024515 0.975485 0.000512
105.000000 0.024972 0.975028 0.000518
106.000000 0.024567 0.975433 0.000504
107.000000 0.024743 0.975257 0.000503
108.000000 0.024095 0.975905 0.000484
109.000000 0.024662 0.975338 0.000493
110.000000 0.024627 0.975373 0.000486
111.000000 0.024777 0.975223 0.000486
112.000000 0.024617 0.975383 0.000477
113.000000 0.024491 0.975509 0.000471
114.000000 0.024745 0.975255 0.000472
115.000000 0.024231 0.975769 0.000457
116.000000 0.024548 0.975452 0.000459
117.000000 0.025165 0.974835 0.000468
118.000000 0.024215 0.975785 0.000445
119.000000 0.024605 0.975395 0.000450
120.000000 0.024505 0.975495 0.000443
121.000000 0.024336 0.975664 0.000437
122.000000 0.024484 0.975516 0.000436
123.000000 0.024383 0.975617 0.000430
124.000000 0.024701 0.975299 0.000433
125.000000 0.024589 0.975411 0.000428
126.000000 0.024744 0.975256 0.000427
127.000000 0.024639 0.975361 0.000421
128.000000 0.024618 0.975382 0.000418
129.000000 0.024373 0.975627 0.000410
130.000000 0.024559 0.975441 0.000410
131.000000 0.024551 0.975449 0.000407
132.000000 0.024511 0.975489 0.000403
133.000000 0.024170 0.975830 0.000394
134.000000 0.024712 0.975288 0.000400
135.000000 0.024849 0.975151 0.000399
136.000000 0.024657 0.975343 0.000394
137.000000 0.024401 0.975599 0.000386
138.000000 0.024255 0.975745 0.000381
139.000000 0.024550 0.975450 0.000382
140.000000 0.024609 0.975391 0.000381
141.000000 0.024937 0.975063 0.000384
142.000000 0.024554 0.975446 0.000375
143.000000 0.024283 0.975717 0.000368
144.000000 0.024466 0.975534 0.000368
145.000000 0.024489 0.975511 0.000366
146.000000 0.024396 0.975604 0.000362
147.000000 0.024595 0.975405 0.000363
148.000000 0.024037 0.975963 0.000351
149.000000 0.024430 0.975570 0.000355
150.000000 0.024502 0.975498 0.000354
151.000000 0.024524 0.975476 0.000352
152.000000 0.024388 0.975612 0.000348
153.000000 0.024978 0.975022 0.000355
154.000000 0.024769 0.975231 0.000349
155.000000 0.024408 0.975592 0.000341
156.000000 0.024368 0.975632 0.000338
157.000000 0.024730 0.975270 0.000342
158.000000 0.024436 0.975564 0.000335
159.000000 0.024686 0.975314 0.000337
160.000000 0.024572 0.975428 0.000333
161.000000 0.024419 0.975581 0.000328
162.000000 0.024449 0.975551 0.000327
163.000000 0.024782 0.975218 0.000330
164.000000 0.024488 0.975512 0.000323
165.000000 0.024509 0.975491 0.000322
166.000000 0.024706 0.975294 0.000323
167.000000 0.024564 0.975436 0.000319
168.000000 0.024453 0.975547 0.000315
169.000000 0.024258 0.975742 0.000311
170.000000 0.024649 0.975351 0.000314
171.000000 0.024720 0.975280 0.000313
172.000000 0.024732 0.975268 0.000312
173.000000 0.024602 0.975398 0.000308
174.000000 0.024453 0.975547 0.000304
175.000000 0.024802 0.975198 0.000308
176.000000 0.024545 0.975455 0.000302
177.000000 0.024602 0.975398 0.000302
178.000000 0.024734 0.975266 0.000301
179.000000 0.024282 0.975718 0.000293
180.000000 0.024675 0.975325 0.000297
181.000000 0.024553 0.975447 0.000294
182.000000 0.024491 0.975509 0.000291
183.000000 0.024653 0.975347 0.000292
184.000000 0.024704 0.975296 0.000291
185.000000 0.024521 0.975479 0.000287
186.000000 0.024473 0.975527 0.000285
187.000000 0.024579 0.975421 0.000285
188.000000 0.024318 0.975682 0.000280
189.000000 0.024676 0.975324 0.000282
