# k f_up f_allD C_global_avg
2.000000 0.690155 0.309845 0.583778
3.000000 0.657535 0.342465 0.488070
4.000000 0.567123 0.432877 0.388134
5.000000 0.507454 0.492546 0.325763
6.000000 0.467383 0.532617 0.285511
7.000000 0.443361 0.556639 0.260595
8.000000 0.427085 0.572915 0.243424
9.000000 0.409934 0.590066 0.227320
10.000000 0.398491 0.601509 0.215803
11.000000 0.390212 0.609788 0.207714
12.000000 0.386724 0.613276 0.203221
13.000000 0.387993 0.612007 0.201213
14.000000 0.370802 0.629198 0.188918
15.000000 0.375780 0.624220 0.190496
16.000000 0.369017 0.630983 0.185057
17.000000 0.368635 0.631365 0.183763
18.000000 0.363484 0.636516 0.179919
19.000000 0.360905 0.639095 0.176845
20.000000 0.358980 0.641020 0.175180
21.000000 0.359923 0.640077 0.174837
22.000000 0.360243 0.639757 0.173729
23.000000 0.355871 0.644129 0.171515
24.000000 0.352837 0.647163 0.169058
25.000000 0.355222 0.644778 0.169541
26.000000 0.355244 0.644756 0.169088
27.000000 0.348478 0.651522 0.163627
28.000000 0.351392 0.648608 0.165390
29.000000 0.345244 0.654756 0.161456
30.000000 0.348223 0.651777 0.163616
31.000000 0.349531 0.650469 0.164190
32.000000 0.345186 0.654814 0.160929
33.000000 0.351572 0.648428 0.163911
34.000000 0.347141 0.652859 0.161224
35.000000 0.346527 0.653473 0.160519
36.000000 0.347532 0.652468 0.161511
37.000000 0.345577 0.654423 0.159948
38.000000 0.349465 0.650535 0.161764
39.000000 0.350196 0.649804 0.162358
40.000000 0.345462 0.654538 0.158848
41.000000 0.348206 0.651794 0.161341
42.000000 0.348501 0.651499 0.160992
43.000000 0.350106 0.649894 0.162019
44.000000 0.345748 0.654252 0.159655
45.000000 0.347502 0.652498 0.159465
46.000000 0.342059 0.657941 0.155981
47.000000 0.340619 0.659381 0.154445
48.000000 0.347562 0.652438 0.158893
49.000000 0.343060 0.656940 0.156985
