# k f_up f_down f_allD C_global_avg
2.000000 0.015816 0.084922 0.899263 0.097996
3.000000 0.413774 0.565413 0.020814 0.975175
4.000000 0.426019 0.552932 0.021048 0.974556
5.000000 0.362137 0.580752 0.057111 0.937173
6.000000 0.284026 0.619921 0.096053 0.897497
7.000000 0.222868 0.624787 0.152345 0.840807
8.000000 0.192894 0.618657 0.188448 0.804171
9.000000 0.172866 0.626186 0.200948 0.791226
10.000000 0.158394 0.630289 0.211317 0.780525
11.000000 0.146535 0.632830 0.220635 0.770928
12.000000 0.143225 0.631592 0.225183 0.765482
13.000000 0.136261 0.631671 0.232069 0.758294
14.000000 0.132217 0.641101 0.226683 0.763315
15.000000 0.127785 0.642139 0.230076 0.759389
16.000000 0.126997 0.645194 0.227809 0.761046
17.000000 0.124710 0.639602 0.235688 0.752832
18.000000 0.123134 0.648291 0.228574 0.759495
19.000000 0.122323 0.649011 0.228666 0.758802
20.000000 0.121229 0.655745 0.223027 0.764026
21.000000 0.121060 0.659069 0.219871 0.766779
22.000000 0.119901 0.658519 0.221580 0.764414
23.000000 0.120836 0.658685 0.220478 0.765233
24.000000 0.118742 0.660925 0.220333 0.764905
25.000000 0.118907 0.651259 0.229834 0.754699
26.000000 0.121271 0.644847 0.233882 0.749662
27.000000 0.121017 0.655139 0.223843 0.759700
28.000000 0.117395 0.654273 0.228333 0.754929
29.000000 0.119108 0.656873 0.224019 0.758669
30.000000 0.119915 0.646631 0.233454 0.748745
31.000000 0.118310 0.656320 0.225370 0.756014
32.000000 0.119248 0.655110 0.225642 0.755511
33.000000 0.119673 0.666737 0.213590 0.767279
34.000000 0.120825 0.659358 0.219817 0.760644
35.000000 0.120211 0.647669 0.232120 0.747460
36.000000 0.118048 0.660201 0.221751 0.757968
37.000000 0.120706 0.654907 0.224387 0.753925
38.000000 0.119618 0.658255 0.222127 0.756496
39.000000 0.120648 0.662483 0.216869 0.761322
40.000000 0.121595 0.650062 0.228343 0.748773
41.000000 0.123395 0.654095 0.222510 0.753970
42.000000 0.119427 0.654555 0.226018 0.750772
43.000000 0.123888 0.656092 0.220019 0.755873
44.000000 0.119895 0.663131 0.216974 0.759245
45.000000 0.120583 0.654280 0.225137 0.750539
46.000000 0.121482 0.648171 0.230347 0.744363
47.000000 0.123455 0.648581 0.227964 0.745770
48.000000 0.121307 0.654409 0.224283 0.749950
49.000000 0.121717 0.644540 0.233744 0.739317
50.000000 0.120962 0.658469 0.220569 0.753067
51.000000 0.123961 0.655898 0.220140 0.752273
52.000000 0.125476 0.650964 0.223559 0.748504
53.000000 0.120411 0.661416 0.218173 0.754768
54.000000 0.123331 0.650769 0.225900 0.746252
55.000000 0.124801 0.650696 0.224503 0.746923
56.000000 0.125796 0.644427 0.229777 0.740666
57.000000 0.123337 0.641211 0.235453 0.735073
58.000000 0.126961 0.655469 0.217570 0.752328
59.000000 0.123811 0.656639 0.219550 0.750278
60.000000 0.124626 0.654815 0.220559 0.748785
61.000000 0.127158 0.646216 0.226626 0.742029
62.000000 0.125170 0.643100 0.231730 0.736516
63.000000 0.127382 0.661689 0.210929 0.757171
64.000000 0.128672 0.640366 0.230962 0.736304
65.000000 0.127645 0.639531 0.232825 0.733608
66.000000 0.129957 0.643384 0.226658 0.739596
67.000000 0.130524 0.640942 0.228533 0.737128
68.000000 0.130988 0.643201 0.225811 0.739496
69.000000 0.130880 0.634274 0.234845 0.730108
70.000000 0.129140 0.648353 0.222507 0.742746
71.000000 0.130594 0.645936 0.223470 0.741053
72.000000 0.131054 0.645091 0.223855 0.740115
73.000000 0.130091 0.640221 0.229688 0.734518
74.000000 0.128557 0.641177 0.230266 0.733548
75.000000 0.132523 0.624052 0.243425 0.718682
76.000000 0.131946 0.640871 0.227183 0.734851
77.000000 0.132620 0.641745 0.225634 0.736546
78.000000 0.130285 0.635135 0.234580 0.727508
79.000000 0.135715 0.634228 0.230056 0.730409
80.000000 0.133278 0.634733 0.231989 0.728824
81.000000 0.132179 0.649622 0.218198 0.743131
82.000000 0.132105 0.634147 0.233748 0.726657
83.000000 0.132682 0.641771 0.225547 0.734461
84.000000 0.135501 0.634611 0.229887 0.728972
85.000000 0.132917 0.638971 0.228111 0.731082
86.000000 0.132195 0.645604 0.222201 0.737910
87.000000 0.134032 0.636964 0.229003 0.729837
88.000000 0.138061 0.635143 0.226795 0.730952
89.000000 0.132483 0.643313 0.224203 0.733893
90.000000 0.137363 0.630523 0.232114 0.724007
91.000000 0.135603 0.638724 0.225673 0.730880
92.000000 0.137927 0.629511 0.232561 0.724134
93.000000 0.139588 0.637306 0.223106 0.733299
94.000000 0.138376 0.640019 0.221605 0.734272
95.000000 0.138223 0.631883 0.229894 0.725838
96.000000 0.138686 0.624466 0.236848 0.717524
97.000000 0.136524 0.636810 0.226665 0.729317
98.000000 0.139436 0.627277 0.233287 0.721151
99.000000 0.139961 0.628812 0.231227 0.722937
100.000000 0.139151 0.634402 0.226447 0.727097
101.000000 0.139700 0.617687 0.242613 0.710073
102.000000 0.140682 0.619499 0.239818 0.712819
103.000000 0.139862 0.630021 0.230118 0.722791
104.000000 0.138451 0.637102 0.224447 0.728536
105.000000 0.143188 0.630602 0.226209 0.725750
106.000000 0.145137 0.617980 0.236884 0.714254
107.000000 0.141846 0.633682 0.224472 0.727368
108.000000 0.140000 0.625735 0.234265 0.716835
109.000000 0.139823 0.641210 0.218967 0.733315
110.000000 0.142339 0.628851 0.228810 0.721444
111.000000 0.144473 0.624504 0.231022 0.718755
112.000000 0.146070 0.618505 0.235425 0.714284
113.000000 0.147573 0.623197 0.229230 0.719936
114.000000 0.147104 0.622290 0.230605 0.717410
115.000000 0.140345 0.629876 0.229779 0.720338
116.000000 0.143611 0.622452 0.233937 0.715160
117.000000 0.146461 0.625848 0.227691 0.720817
118.000000 0.145207 0.632536 0.222258 0.726217
119.000000 0.144588 0.636914 0.218498 0.729632
120.000000 0.147372 0.630787 0.221840 0.725816
121.000000 0.150262 0.622910 0.226828 0.718906
122.000000 0.146494 0.617875 0.235631 0.711504
123.000000 0.147364 0.616811 0.235825 0.710361
124.000000 0.148860 0.621410 0.229731 0.716001
125.000000 0.149932 0.613386 0.236681 0.708489
126.000000 0.150080 0.621252 0.228668 0.717704
127.000000 0.143830 0.633016 0.223153 0.723520
128.000000 0.151098 0.615107 0.233796 0.710260
129.000000 0.149002 0.615785 0.235213 0.708493
130.000000 0.149090 0.628077 0.222833 0.722216
131.000000 0.149332 0.625194 0.225474 0.719038
132.000000 0.150079 0.620451 0.229470 0.715071
133.000000 0.151867 0.623324 0.224809 0.719054
134.000000 0.155804 0.609300 0.234896 0.706952
135.000000 0.151382 0.608103 0.240515 0.702211
136.000000 0.149491 0.607183 0.243326 0.698532
137.000000 0.154170 0.609069 0.236761 0.704597
138.000000 0.150571 0.623488 0.225941 0.717491
139.000000 0.152278 0.613694 0.234027 0.707879
