# k f_up f_allD C_global_avg
2.000000 0.694165 0.305835 0.586746
3.000000 0.806752 0.193248 0.561703
4.000000 0.685182 0.314818 0.396335
5.000000 0.581000 0.419000 0.282254
6.000000 0.493245 0.506755 0.200517
7.000000 0.456063 0.543937 0.162733
8.000000 0.426727 0.573273 0.137749
9.000000 0.402691 0.597309 0.117879
10.000000 0.382326 0.617674 0.101611
11.000000 0.369417 0.630583 0.090780
12.000000 0.358542 0.641458 0.082984
13.000000 0.348425 0.651575 0.075579
14.000000 0.347727 0.652273 0.072958
15.000000 0.336648 0.663352 0.067147
16.000000 0.328612 0.671388 0.062594
17.000000 0.329903 0.670097 0.060179
18.000000 0.330925 0.669075 0.059353
19.000000 0.319316 0.680684 0.054968
20.000000 0.321643 0.678357 0.054556
21.000000 0.321621 0.678379 0.052689
22.000000 0.319434 0.680566 0.052364
23.000000 0.313485 0.686515 0.048914
24.000000 0.311553 0.688447 0.048162
25.000000 0.310697 0.689303 0.047416
26.000000 0.307194 0.692806 0.046186
27.000000 0.304006 0.695994 0.044839
28.000000 0.309377 0.690623 0.045321
29.000000 0.311937 0.688063 0.044971
30.000000 0.306703 0.693297 0.042854
31.000000 0.305785 0.694215 0.042419
32.000000 0.303466 0.696534 0.041460
33.000000 0.302395 0.697605 0.040543
34.000000 0.298645 0.701355 0.039975
35.000000 0.308222 0.691778 0.040615
36.000000 0.297661 0.702339 0.039063
37.000000 0.294837 0.705163 0.038596
38.000000 0.300310 0.699690 0.039226
39.000000 0.295965 0.704035 0.038057
40.000000 0.296253 0.703747 0.037822
41.000000 0.298478 0.701522 0.037391
42.000000 0.294518 0.705482 0.037964
43.000000 0.297798 0.702202 0.037509
44.000000 0.303853 0.696147 0.038374
45.000000 0.300062 0.699938 0.037292
46.000000 0.289281 0.710719 0.034398
47.000000 0.297504 0.702496 0.035677
48.000000 0.294433 0.705567 0.035724
49.000000 0.296542 0.703458 0.036000
50.000000 0.296377 0.703623 0.035593
51.000000 0.297844 0.702156 0.036382
52.000000 0.297794 0.702206 0.035758
53.000000 0.289329 0.710671 0.033662
54.000000 0.292674 0.707326 0.034746
55.000000 0.286596 0.713404 0.033196
56.000000 0.293594 0.706406 0.036292
57.000000 0.295211 0.704789 0.034867
58.000000 0.289470 0.710530 0.034987
59.000000 0.294165 0.705835 0.034427
60.000000 0.288460 0.711540 0.032724
61.000000 0.294033 0.705967 0.034609
62.000000 0.286552 0.713448 0.032650
63.000000 0.290229 0.709771 0.032985
64.000000 0.292660 0.707340 0.034069
65.000000 0.294089 0.705911 0.034200
66.000000 0.293327 0.706673 0.034165
67.000000 0.288739 0.711261 0.031697
68.000000 0.294230 0.705770 0.033716
69.000000 0.293090 0.706910 0.033175
70.000000 0.288538 0.711462 0.031997
71.000000 0.288584 0.711416 0.031901
72.000000 0.295911 0.704089 0.033430
73.000000 0.290384 0.709616 0.032794
74.000000 0.289133 0.710867 0.032005
75.000000 0.287324 0.712676 0.031330
76.000000 0.284404 0.715596 0.031311
77.000000 0.284905 0.715095 0.030934
78.000000 0.289293 0.710707 0.032247
79.000000 0.282501 0.717499 0.030465
80.000000 0.289301 0.710699 0.032340
81.000000 0.288584 0.711416 0.031895
82.000000 0.292208 0.707792 0.031898
83.000000 0.288952 0.711048 0.032352
84.000000 0.289364 0.710636 0.031850
85.000000 0.293847 0.706153 0.033143
86.000000 0.288576 0.711424 0.030872
87.000000 0.289684 0.710316 0.031996
88.000000 0.285161 0.714839 0.030580
89.000000 0.285046 0.714954 0.029984
90.000000 0.290443 0.709557 0.031732
91.000000 0.289279 0.710721 0.032261
92.000000 0.288025 0.711975 0.031546
93.000000 0.292416 0.707584 0.032336
94.000000 0.288552 0.711448 0.030941
95.000000 0.287879 0.712121 0.030566
96.000000 0.291823 0.708177 0.031503
97.000000 0.288188 0.711812 0.031002
98.000000 0.290830 0.709170 0.031694
99.000000 0.288426 0.711574 0.030819
100.000000 0.286954 0.713046 0.030811
101.000000 0.285873 0.714127 0.030030
102.000000 0.287149 0.712851 0.030052
103.000000 0.292447 0.707553 0.031703
104.000000 0.289105 0.710895 0.030447
105.000000 0.288056 0.711944 0.030904
106.000000 0.291946 0.708054 0.031304
107.000000 0.290742 0.709258 0.031281
108.000000 0.288589 0.711411 0.031080
109.000000 0.284886 0.715114 0.029455
