# k f_up f_allD C_global_avg
2.000000 0.391676 0.608324 0.382181
3.000000 0.314007 0.685993 0.290773
4.000000 0.193361 0.806639 0.168485
5.000000 0.120576 0.879424 0.096037
6.000000 0.077712 0.922288 0.054009
7.000000 0.053559 0.946441 0.031057
8.000000 0.043726 0.956274 0.021805
9.000000 0.037278 0.962722 0.015360
10.000000 0.033325 0.966675 0.011760
11.000000 0.032143 0.967857 0.010094
12.000000 0.030107 0.969893 0.008578
13.000000 0.028367 0.971633 0.006971
14.000000 0.027454 0.972546 0.005853
15.000000 0.027747 0.972253 0.005520
16.000000 0.026192 0.973808 0.004749
17.000000 0.026064 0.973936 0.004252
18.000000 0.025524 0.974476 0.003913
19.000000 0.025434 0.974566 0.003801
20.000000 0.025224 0.974776 0.003501
21.000000 0.025353 0.974647 0.003309
22.000000 0.024919 0.975081 0.002999
23.000000 0.024953 0.975047 0.002930
24.000000 0.025008 0.974992 0.002852
25.000000 0.024367 0.975633 0.002565
26.000000 0.024787 0.975213 0.002521
27.000000 0.024282 0.975718 0.002356
28.000000 0.024062 0.975938 0.002240
29.000000 0.024268 0.975732 0.002202
30.000000 0.024673 0.975327 0.002192
31.000000 0.023974 0.976026 0.002042
32.000000 0.024320 0.975680 0.001953
33.000000 0.024429 0.975571 0.001926
34.000000 0.024146 0.975854 0.001831
35.000000 0.023985 0.976015 0.001767
36.000000 0.023805 0.976195 0.001684
37.000000 0.023629 0.976371 0.001651
38.000000 0.024138 0.975862 0.001619
39.000000 0.023862 0.976138 0.001545
40.000000 0.023857 0.976143 0.001512
41.000000 0.023807 0.976193 0.001473
42.000000 0.023403 0.976597 0.001404
43.000000 0.023910 0.976090 0.001483
44.000000 0.023602 0.976398 0.001360
45.000000 0.023571 0.976429 0.001317
46.000000 0.023732 0.976268 0.001326
47.000000 0.023632 0.976368 0.001271
48.000000 0.023815 0.976185 0.001297
49.000000 0.023511 0.976489 0.001200
50.000000 0.023887 0.976113 0.001205
51.000000 0.024023 0.975977 0.001183
52.000000 0.023128 0.976872 0.001105
53.000000 0.023499 0.976501 0.001106
54.000000 0.023609 0.976391 0.001093
55.000000 0.023332 0.976668 0.001059
56.000000 0.023768 0.976232 0.001056
57.000000 0.023474 0.976526 0.001028
58.000000 0.023841 0.976159 0.001022
59.000000 0.023473 0.976527 0.000990
