# k f_up f_allD C_global_avg
2.000000 0.693055 0.306945 0.585258
3.000000 0.849898 0.150102 0.583092
4.000000 0.725915 0.274085 0.394672
5.000000 0.604153 0.395847 0.258671
6.000000 0.515550 0.484450 0.175384
7.000000 0.456929 0.543071 0.128398
8.000000 0.425299 0.574701 0.100410
9.000000 0.393156 0.606844 0.079181
10.000000 0.380681 0.619319 0.067995
11.000000 0.365598 0.634402 0.058505
12.000000 0.364745 0.635255 0.054956
13.000000 0.340437 0.659563 0.044683
14.000000 0.336042 0.663958 0.041555
15.000000 0.327533 0.672467 0.038797
16.000000 0.327895 0.672105 0.037237
17.000000 0.318962 0.681038 0.032898
18.000000 0.312568 0.687432 0.029763
19.000000 0.310840 0.689160 0.028572
20.000000 0.312896 0.687104 0.027714
21.000000 0.304642 0.695358 0.026140
22.000000 0.310683 0.689317 0.026074
23.000000 0.301439 0.698561 0.023705
24.000000 0.302619 0.697381 0.023328
25.000000 0.297608 0.702392 0.021845
26.000000 0.296085 0.703915 0.021388
27.000000 0.297694 0.702306 0.021459
28.000000 0.298929 0.701071 0.021776
29.000000 0.296589 0.703411 0.019799
30.000000 0.291970 0.708030 0.019742
31.000000 0.291210 0.708790 0.018200
32.000000 0.292488 0.707512 0.019110
33.000000 0.286621 0.713379 0.017227
34.000000 0.289653 0.710347 0.018315
35.000000 0.288746 0.711254 0.016994
36.000000 0.295431 0.704569 0.018274
37.000000 0.287698 0.712302 0.017133
38.000000 0.288075 0.711925 0.016332
39.000000 0.287730 0.712270 0.016309
40.000000 0.287063 0.712937 0.016323
41.000000 0.288540 0.711460 0.015907
42.000000 0.284793 0.715207 0.015234
43.000000 0.284466 0.715534 0.015142
44.000000 0.286379 0.713621 0.015401
45.000000 0.288895 0.711105 0.015217
46.000000 0.286865 0.713135 0.014874
47.000000 0.283423 0.716577 0.014923
48.000000 0.286453 0.713547 0.014922
49.000000 0.285535 0.714465 0.014079
50.000000 0.283242 0.716758 0.013873
51.000000 0.287165 0.712835 0.014109
52.000000 0.287045 0.712955 0.014381
53.000000 0.277909 0.722091 0.013715
54.000000 0.280823 0.719177 0.013744
55.000000 0.280400 0.719600 0.013108
56.000000 0.280316 0.719684 0.013066
57.000000 0.277064 0.722936 0.012250
58.000000 0.279701 0.720299 0.013150
59.000000 0.282729 0.717271 0.013527
60.000000 0.281340 0.718660 0.012745
61.000000 0.285057 0.714943 0.013649
62.000000 0.279513 0.720487 0.012921
63.000000 0.275114 0.724886 0.012108
64.000000 0.279531 0.720469 0.012772
65.000000 0.284252 0.715748 0.012863
66.000000 0.281598 0.718402 0.012756
67.000000 0.284514 0.715486 0.013173
68.000000 0.276403 0.723597 0.011715
69.000000 0.277802 0.722198 0.012124
70.000000 0.277032 0.722968 0.011626
71.000000 0.276379 0.723621 0.012333
72.000000 0.282440 0.717560 0.011974
73.000000 0.280980 0.719020 0.012108
74.000000 0.279954 0.720046 0.011792
75.000000 0.277256 0.722744 0.011503
76.000000 0.281456 0.718544 0.011882
77.000000 0.280923 0.719077 0.011774
78.000000 0.279477 0.720523 0.012084
79.000000 0.278659 0.721341 0.011504
80.000000 0.279769 0.720231 0.012362
81.000000 0.275442 0.724558 0.011470
82.000000 0.275278 0.724722 0.011267
83.000000 0.278009 0.721991 0.011849
84.000000 0.279888 0.720112 0.011530
85.000000 0.275758 0.724242 0.011366
86.000000 0.273207 0.726793 0.010819
87.000000 0.272000 0.728000 0.011173
88.000000 0.271758 0.728242 0.010596
89.000000 0.275249 0.724751 0.011062
90.000000 0.278244 0.721756 0.011601
91.000000 0.274833 0.725167 0.011256
92.000000 0.277866 0.722134 0.011169
93.000000 0.273307 0.726693 0.011341
94.000000 0.276300 0.723700 0.010951
95.000000 0.281866 0.718134 0.011039
96.000000 0.277122 0.722878 0.010894
97.000000 0.278434 0.721566 0.011116
98.000000 0.279112 0.720888 0.010941
99.000000 0.281550 0.718450 0.011457
100.000000 0.279936 0.720064 0.011397
101.000000 0.278539 0.721461 0.011034
102.000000 0.277755 0.722245 0.010531
103.000000 0.276870 0.723130 0.010553
104.000000 0.277585 0.722415 0.010829
105.000000 0.274697 0.725303 0.010702
106.000000 0.278014 0.721986 0.010640
107.000000 0.282124 0.717876 0.011209
108.000000 0.269789 0.730211 0.010033
109.000000 0.276435 0.723565 0.010525
110.000000 0.276811 0.723189 0.010873
111.000000 0.274228 0.725772 0.010436
112.000000 0.277328 0.722672 0.010341
113.000000 0.273622 0.726378 0.010209
114.000000 0.274056 0.725944 0.010153
115.000000 0.272621 0.727379 0.010068
116.000000 0.278016 0.721984 0.010701
117.000000 0.276673 0.723327 0.010752
118.000000 0.274124 0.725876 0.010287
119.000000 0.276036 0.723964 0.010512
120.000000 0.273502 0.726498 0.009747
121.000000 0.275546 0.724454 0.010436
122.000000 0.273939 0.726061 0.010160
123.000000 0.273177 0.726823 0.010144
124.000000 0.280647 0.719353 0.011010
125.000000 0.274467 0.725533 0.009898
126.000000 0.274834 0.725166 0.010058
127.000000 0.281459 0.718541 0.010997
128.000000 0.279383 0.720617 0.010468
129.000000 0.277734 0.722266 0.010047
130.000000 0.277014 0.722986 0.010263
131.000000 0.278310 0.721690 0.010929
132.000000 0.276983 0.723017 0.010343
133.000000 0.275629 0.724371 0.009775
134.000000 0.274236 0.725764 0.010174
135.000000 0.275924 0.724076 0.010013
136.000000 0.275938 0.724062 0.010030
137.000000 0.275465 0.724535 0.010032
138.000000 0.269558 0.730442 0.009771
139.000000 0.273830 0.726170 0.009801
140.000000 0.275517 0.724483 0.010136
141.000000 0.272587 0.727413 0.009658
142.000000 0.276226 0.723774 0.010514
143.000000 0.273475 0.726525 0.010260
144.000000 0.274586 0.725414 0.010135
145.000000 0.273793 0.726207 0.010277
146.000000 0.273856 0.726144 0.010260
147.000000 0.272195 0.727805 0.010059
148.000000 0.279517 0.720483 0.010310
149.000000 0.276380 0.723620 0.009962
