# k f_up f_down f_allD C_global_avg
2.000000 0.024651 0.099147 0.876202 0.121772
3.000000 0.260863 0.535437 0.203700 0.793804
4.000000 0.248506 0.531411 0.220083 0.777290
5.000000 0.182870 0.528099 0.289031 0.708246
6.000000 0.172841 0.544217 0.282942 0.713964
7.000000 0.153614 0.577785 0.268601 0.728032
8.000000 0.151542 0.581798 0.266660 0.729587
9.000000 0.140447 0.587460 0.272092 0.723858
10.000000 0.141820 0.599111 0.259069 0.736507
11.000000 0.132172 0.604073 0.263755 0.731572
12.000000 0.128482 0.603793 0.267725 0.727332
13.000000 0.127975 0.601407 0.270618 0.724067
14.000000 0.128821 0.613147 0.258032 0.736239
15.000000 0.129133 0.607140 0.263727 0.730297
16.000000 0.126787 0.619388 0.253825 0.740014
17.000000 0.125472 0.607561 0.266966 0.726339
18.000000 0.122557 0.610558 0.266884 0.726138
19.000000 0.125884 0.610171 0.263945 0.728799
20.000000 0.124497 0.612720 0.262783 0.729764
21.000000 0.126085 0.615918 0.257998 0.734299
22.000000 0.124955 0.618301 0.256744 0.735318
23.000000 0.124818 0.611839 0.263344 0.728374
24.000000 0.123383 0.622160 0.254457 0.737112
25.000000 0.121229 0.609570 0.269201 0.721989
26.000000 0.121910 0.621651 0.256439 0.734681
27.000000 0.122365 0.621964 0.255671 0.735088
28.000000 0.124974 0.610411 0.264615 0.725609
29.000000 0.129503 0.608045 0.262452 0.727580
