# k f_up f_allD C_global_avg
2.000000 0.395896 0.604104 0.386340
3.000000 0.327316 0.672684 0.300074
4.000000 0.195700 0.804300 0.167069
5.000000 0.108475 0.891525 0.081710
6.000000 0.064693 0.935307 0.040081
7.000000 0.048501 0.951499 0.024891
8.000000 0.039810 0.960190 0.016934
9.000000 0.033840 0.966160 0.011542
10.000000 0.031575 0.968425 0.009343
11.000000 0.030496 0.969504 0.008117
12.000000 0.028867 0.971133 0.006733
13.000000 0.028155 0.971845 0.005973
14.000000 0.026939 0.973061 0.005082
15.000000 0.026798 0.973202 0.004673
16.000000 0.026419 0.973581 0.004262
17.000000 0.026638 0.973362 0.004083
18.000000 0.026424 0.973576 0.003780
19.000000 0.026107 0.973893 0.003512
20.000000 0.025496 0.974504 0.003215
21.000000 0.025346 0.974654 0.003023
22.000000 0.025351 0.974649 0.002877
23.000000 0.025453 0.974547 0.002764
24.000000 0.025290 0.974710 0.002610
25.000000 0.025013 0.974987 0.002473
26.000000 0.024993 0.975007 0.002373
27.000000 0.024778 0.975222 0.002257
28.000000 0.024491 0.975509 0.002144
29.000000 0.024436 0.975564 0.002062
30.000000 0.024792 0.975208 0.002024
31.000000 0.024516 0.975484 0.001921
32.000000 0.024672 0.975328 0.001879
33.000000 0.024295 0.975705 0.001802
34.000000 0.024488 0.975512 0.001743
35.000000 0.024805 0.975195 0.001720
36.000000 0.024501 0.975499 0.001641
37.000000 0.024173 0.975827 0.001574
38.000000 0.024316 0.975684 0.001539
39.000000 0.024425 0.975575 0.001506
40.000000 0.024393 0.975607 0.001463
41.000000 0.024567 0.975433 0.001443
42.000000 0.024121 0.975879 0.001375
43.000000 0.024197 0.975803 0.001346
44.000000 0.024391 0.975609 0.001331
45.000000 0.024360 0.975640 0.001301
46.000000 0.024123 0.975877 0.001254
47.000000 0.024310 0.975690 0.001246
48.000000 0.024015 0.975985 0.001191
49.000000 0.023826 0.976174 0.001159
50.000000 0.024352 0.975648 0.001167
51.000000 0.023945 0.976055 0.001116
52.000000 0.023763 0.976237 0.001085
53.000000 0.023894 0.976106 0.001069
54.000000 0.024217 0.975783 0.001065
55.000000 0.023967 0.976033 0.001031
56.000000 0.024140 0.975860 0.001023
57.000000 0.024064 0.975936 0.001005
58.000000 0.023950 0.976050 0.000978
59.000000 0.024531 0.975469 0.000994
60.000000 0.024476 0.975524 0.000978
61.000000 0.023900 0.976100 0.000925
62.000000 0.023940 0.976060 0.000910
63.000000 0.023778 0.976222 0.000891
64.000000 0.024194 0.975806 0.000895
65.000000 0.023982 0.976018 0.000872
66.000000 0.024031 0.975969 0.000861
67.000000 0.023831 0.976169 0.000836
68.000000 0.023941 0.976059 0.000831
69.000000 0.023926 0.976074 0.000817
70.000000 0.023705 0.976295 0.000797
71.000000 0.023925 0.976075 0.000795
72.000000 0.024060 0.975940 0.000789
73.000000 0.024231 0.975769 0.000785
74.000000 0.023603 0.976397 0.000747
75.000000 0.023974 0.976026 0.000754
76.000000 0.023720 0.976280 0.000733
77.000000 0.023815 0.976185 0.000732
78.000000 0.023875 0.976125 0.000719
79.000000 0.023889 0.976111 0.000711
