# k f_up f_down f_allD C_global_avg Ncomp_U Ncomp_D Ncomp_Def Smax_U Smax_D Smax_Def Avg_U Avg_D Avg_Def E_UD E_UDef E_DDef
2.000000 0.015098 0.080287 0.904616 0.092692 0.343220 0.769430 1.380685 2.034275 10.153757 129.413594 1.741534 8.114546 118.580093 0.139565 0.546876 1.399249
3.000000 0.418816 0.563747 0.017437 0.978611 2.129075 1.995449 0.627301 60.339134 82.469581 2.023565 48.683772 71.351735 1.499697 15.305045 2.274453 0.584153
4.000000 0.439801 0.541034 0.019164 0.976295 1.845846 1.788194 0.532192 64.260345 79.620849 2.433529 57.678749 73.502880 2.076130 21.851721 2.833464 0.477951
5.000000 0.366598 0.585992 0.047410 0.946924 1.689842 1.552858 0.505255 53.523066 86.819033 6.725596 49.287175 82.969593 6.346140 27.684055 3.642985 0.659238
6.000000 0.286874 0.606123 0.107003 0.886306 1.514614 1.320549 0.486502 41.764924 90.187041 15.742268 38.768435 87.781359 15.370976 31.490423 4.439307 1.013201
7.000000 0.227997 0.624932 0.147072 0.845970 1.365722 1.188517 0.443788 33.086359 93.201978 21.835993 30.756122 91.566439 21.549577 35.392329 4.722592 1.385227
8.000000 0.199143 0.632356 0.168501 0.824231 1.268616 1.108395 0.416870 28.866283 94.426289 25.098927 26.927943 93.210856 24.869876 40.167929 5.106955 1.704516
9.000000 0.178050 0.633428 0.188523 0.803664 1.172703 1.052228 0.404583 25.807695 94.659052 28.134495 24.215586 93.747062 27.945292 43.866110 5.722798 2.125776
