# k f_up f_down f_allD C_global_avg
2.000000 0.015098 0.080287 0.904616 0.092692
3.000000 0.421397 0.561879 0.016724 0.979356
4.000000 0.433561 0.547787 0.018653 0.976826
5.000000 0.370028 0.585031 0.044942 0.949459
6.000000 0.293358 0.610178 0.096464 0.896914
7.000000 0.235515 0.622836 0.141649 0.851212
8.000000 0.198363 0.632550 0.169087 0.823409
9.000000 0.174970 0.633956 0.191074 0.800871
10.000000 0.157487 0.634947 0.207566 0.784331
11.000000 0.147873 0.635505 0.216622 0.774620
12.000000 0.142078 0.639123 0.218799 0.772121
13.000000 0.137542 0.633182 0.229276 0.760848
14.000000 0.132261 0.634900 0.232839 0.756782
15.000000 0.130356 0.648429 0.221215 0.768218
16.000000 0.130445 0.643585 0.225970 0.762873
17.000000 0.124934 0.644144 0.230922 0.757472
18.000000 0.126743 0.644886 0.228371 0.759304
19.000000 0.124381 0.647888 0.227730 0.759535
20.000000 0.121728 0.652529 0.225742 0.761260
21.000000 0.123388 0.651237 0.225375 0.760975
22.000000 0.119976 0.655143 0.224881 0.761178
23.000000 0.121245 0.660179 0.218576 0.766856
24.000000 0.121974 0.654884 0.223143 0.761827
25.000000 0.121791 0.650612 0.227598 0.756521
26.000000 0.123152 0.657662 0.219187 0.764682
27.000000 0.118969 0.659290 0.221741 0.762021
28.000000 0.123562 0.656882 0.219556 0.763303
29.000000 0.118580 0.663423 0.217997 0.764513
30.000000 0.121412 0.648332 0.230256 0.751585
31.000000 0.120881 0.660281 0.218838 0.762828
32.000000 0.121192 0.656658 0.222150 0.759071
33.000000 0.119864 0.657696 0.222440 0.758010
34.000000 0.123147 0.651037 0.225815 0.754166
35.000000 0.122419 0.651371 0.226210 0.753281
36.000000 0.121518 0.657783 0.220698 0.758439
37.000000 0.124095 0.654800 0.221104 0.757000
38.000000 0.124219 0.649539 0.226242 0.751504
39.000000 0.123497 0.659453 0.217050 0.760208
40.000000 0.122908 0.651159 0.225933 0.751524
41.000000 0.122182 0.657358 0.220461 0.756480
42.000000 0.122159 0.659674 0.218167 0.758449
43.000000 0.122747 0.658665 0.218588 0.757559
44.000000 0.122940 0.655817 0.221243 0.753942
45.000000 0.125481 0.646759 0.227760 0.746764
46.000000 0.128008 0.648656 0.223336 0.750264
47.000000 0.125784 0.646096 0.228120 0.745671
48.000000 0.125774 0.647547 0.226679 0.746463
49.000000 0.126166 0.653355 0.220479 0.752544
50.000000 0.127918 0.640827 0.231255 0.741035
51.000000 0.129339 0.646670 0.223992 0.747607
52.000000 0.128461 0.640038 0.231501 0.739791
53.000000 0.126024 0.662256 0.211720 0.760053
54.000000 0.126267 0.652862 0.220871 0.750055
55.000000 0.129126 0.646434 0.224439 0.745507
56.000000 0.128587 0.655386 0.216027 0.754337
