# k f_up f_allD C_global_avg
2.000000 0.391652 0.608348 0.382099
3.000000 0.331801 0.668199 0.306145
4.000000 0.197386 0.802614 0.170417
5.000000 0.108277 0.891723 0.082873
6.000000 0.070133 0.929867 0.045994
7.000000 0.049425 0.950575 0.026555
8.000000 0.041474 0.958526 0.018737
9.000000 0.034336 0.965664 0.012352
10.000000 0.031380 0.968620 0.009664
11.000000 0.029895 0.970105 0.008254
12.000000 0.029409 0.970591 0.007358
13.000000 0.028064 0.971936 0.006147
14.000000 0.027671 0.972329 0.005596
15.000000 0.027213 0.972787 0.005019
16.000000 0.026463 0.973537 0.004554
17.000000 0.026061 0.973939 0.004092
18.000000 0.025920 0.974080 0.003796
19.000000 0.025490 0.974510 0.003504
20.000000 0.025559 0.974441 0.003313
21.000000 0.025398 0.974602 0.003122
22.000000 0.024949 0.975051 0.002885
23.000000 0.024893 0.975107 0.002759
24.000000 0.025012 0.974988 0.002659
25.000000 0.024902 0.975098 0.002557
26.000000 0.024858 0.975142 0.002458
27.000000 0.025202 0.974798 0.002379
28.000000 0.024672 0.975328 0.002206
29.000000 0.024374 0.975626 0.002100
30.000000 0.024365 0.975635 0.002040
31.000000 0.024817 0.975183 0.002002
32.000000 0.024487 0.975513 0.001899
33.000000 0.024433 0.975567 0.001839
34.000000 0.023983 0.976017 0.001743
35.000000 0.024294 0.975706 0.001733
36.000000 0.024226 0.975774 0.001661
37.000000 0.024141 0.975859 0.001606
38.000000 0.024317 0.975683 0.001573
39.000000 0.024013 0.975987 0.001513
40.000000 0.023987 0.976013 0.001467
41.000000 0.024123 0.975877 0.001446
42.000000 0.023808 0.976192 0.001392
43.000000 0.023706 0.976294 0.001347
44.000000 0.024153 0.975847 0.001337
45.000000 0.023917 0.976083 0.001296
46.000000 0.024246 0.975754 0.001289
47.000000 0.023949 0.976051 0.001242
48.000000 0.023873 0.976127 0.001206
49.000000 0.024410 0.975590 0.001217
50.000000 0.023585 0.976415 0.001144
51.000000 0.023918 0.976082 0.001147
52.000000 0.024032 0.975968 0.001125
53.000000 0.023672 0.976328 0.001095
54.000000 0.024100 0.975900 0.001082
55.000000 0.023956 0.976044 0.001057
56.000000 0.023842 0.976158 0.001028
57.000000 0.023157 0.976843 0.000982
58.000000 0.023347 0.976653 0.000969
59.000000 0.023016 0.976984 0.000938
60.000000 0.023268 0.976732 0.000931
61.000000 0.023754 0.976246 0.000944
62.000000 0.023893 0.976107 0.000932
63.000000 0.023636 0.976364 0.000907
64.000000 0.023744 0.976256 0.000897
65.000000 0.023394 0.976606 0.000870
66.000000 0.023460 0.976540 0.000857
67.000000 0.023963 0.976037 0.000862
68.000000 0.023916 0.976084 0.000853
69.000000 0.023790 0.976210 0.000833
