# k f_up f_allD C_global_avg
2.000000 0.695204 0.304796 0.587312
3.000000 0.781911 0.218089 0.553059
4.000000 0.643075 0.356925 0.384901
5.000000 0.561809 0.438191 0.293564
6.000000 0.491821 0.508179 0.226607
7.000000 0.456860 0.543140 0.190011
8.000000 0.435760 0.564240 0.168528
9.000000 0.403068 0.596932 0.142366
10.000000 0.387037 0.612963 0.128174
11.000000 0.374365 0.625635 0.118149
12.000000 0.365245 0.634755 0.110421
13.000000 0.356116 0.643884 0.101584
14.000000 0.354140 0.645860 0.098898
15.000000 0.342309 0.657691 0.091627
16.000000 0.338227 0.661773 0.088576
17.000000 0.335634 0.664366 0.084724
18.000000 0.335162 0.664838 0.083344
19.000000 0.333484 0.666516 0.081566
20.000000 0.328531 0.671469 0.077908
21.000000 0.330098 0.669902 0.077901
22.000000 0.327973 0.672027 0.076283
23.000000 0.330126 0.669874 0.075728
24.000000 0.323834 0.676166 0.073466
25.000000 0.320374 0.679626 0.072109
26.000000 0.318682 0.681318 0.069652
27.000000 0.314886 0.685114 0.068613
28.000000 0.311546 0.688454 0.066344
29.000000 0.314792 0.685208 0.067411
30.000000 0.314680 0.685320 0.066364
31.000000 0.316957 0.683043 0.067171
32.000000 0.310616 0.689384 0.063981
33.000000 0.309754 0.690246 0.063519
34.000000 0.310209 0.689791 0.063256
35.000000 0.311182 0.688818 0.062695
36.000000 0.304522 0.695478 0.061004
37.000000 0.312211 0.687789 0.062169
38.000000 0.305860 0.694140 0.060797
39.000000 0.307867 0.692133 0.060500
40.000000 0.305250 0.694750 0.059295
41.000000 0.307077 0.692923 0.059890
42.000000 0.308449 0.691551 0.060205
43.000000 0.310022 0.689978 0.060276
44.000000 0.305090 0.694910 0.059552
45.000000 0.305490 0.694510 0.059418
46.000000 0.304019 0.695981 0.058662
47.000000 0.306705 0.693295 0.059194
48.000000 0.305039 0.694961 0.058475
49.000000 0.303907 0.696093 0.057582
50.000000 0.306761 0.693239 0.058547
51.000000 0.306856 0.693144 0.058322
52.000000 0.301433 0.698567 0.057329
53.000000 0.302110 0.697890 0.057009
54.000000 0.300359 0.699641 0.055708
55.000000 0.298681 0.701319 0.055707
56.000000 0.303348 0.696652 0.057016
57.000000 0.302960 0.697040 0.056826
58.000000 0.303401 0.696599 0.056120
59.000000 0.302780 0.697220 0.056564
60.000000 0.306016 0.693984 0.056837
61.000000 0.306478 0.693522 0.058243
62.000000 0.294929 0.705071 0.053113
63.000000 0.300895 0.699105 0.055124
64.000000 0.306296 0.693704 0.057756
65.000000 0.299149 0.700851 0.054684
66.000000 0.306186 0.693814 0.056518
67.000000 0.296974 0.703026 0.052893
68.000000 0.297296 0.702704 0.052909
69.000000 0.303926 0.696074 0.056562
70.000000 0.298629 0.701371 0.053658
71.000000 0.306134 0.693866 0.056384
72.000000 0.298370 0.701630 0.052971
73.000000 0.303825 0.696175 0.056147
74.000000 0.300711 0.699289 0.054267
75.000000 0.305513 0.694487 0.056150
76.000000 0.298477 0.701523 0.053315
77.000000 0.300076 0.699924 0.053037
78.000000 0.303027 0.696973 0.055131
79.000000 0.301065 0.698935 0.054165
80.000000 0.298549 0.701451 0.053051
81.000000 0.302740 0.697260 0.054847
82.000000 0.299137 0.700863 0.053741
83.000000 0.300164 0.699836 0.054000
84.000000 0.295044 0.704956 0.052836
85.000000 0.294593 0.705407 0.052278
86.000000 0.302253 0.697747 0.053914
87.000000 0.299197 0.700803 0.054098
88.000000 0.298501 0.701499 0.053394
89.000000 0.298571 0.701429 0.053332
