# k f_up f_down f_allD C_global_avg
2.000000 0.015159 0.076209 0.908632 0.088748
3.000000 0.402398 0.568341 0.029261 0.966701
4.000000 0.427605 0.545482 0.026913 0.968614
5.000000 0.335723 0.590185 0.074092 0.920424
6.000000 0.259222 0.617570 0.123207 0.870857
7.000000 0.206628 0.632822 0.160550 0.833151
8.000000 0.188353 0.626049 0.185598 0.807473
9.000000 0.160340 0.640941 0.198719 0.794029
10.000000 0.148619 0.638182 0.213199 0.779037
11.000000 0.144175 0.637002 0.218823 0.772982
12.000000 0.132964 0.634143 0.232893 0.758462
13.000000 0.130213 0.643881 0.225907 0.764866
14.000000 0.131600 0.637916 0.230484 0.759539
15.000000 0.122263 0.649652 0.228085 0.761939
16.000000 0.119271 0.650812 0.229917 0.759546
17.000000 0.123382 0.647727 0.228891 0.759819
18.000000 0.120985 0.642002 0.237013 0.751299
19.000000 0.116450 0.653647 0.229903 0.758124
20.000000 0.118868 0.654238 0.226894 0.760686
21.000000 0.116349 0.645422 0.238228 0.748504
22.000000 0.112325 0.658088 0.229587 0.757256
23.000000 0.116395 0.665804 0.217801 0.768573
24.000000 0.114434 0.662173 0.223392 0.762309
25.000000 0.116694 0.666285 0.217021 0.768217
26.000000 0.113368 0.671198 0.215434 0.769520
27.000000 0.114834 0.654977 0.230190 0.753927
28.000000 0.113581 0.664093 0.222326 0.761544
29.000000 0.115523 0.659115 0.225362 0.757810
30.000000 0.115745 0.660157 0.224098 0.758793
31.000000 0.114576 0.655087 0.230336 0.752084
32.000000 0.113446 0.658189 0.228364 0.753610
33.000000 0.114315 0.652664 0.233021 0.748248
34.000000 0.113423 0.670403 0.216174 0.765223
35.000000 0.117098 0.661177 0.221724 0.758953
36.000000 0.112417 0.667666 0.219917 0.760602
37.000000 0.112346 0.650990 0.236664 0.742882
38.000000 0.116467 0.649315 0.234218 0.744769
39.000000 0.113219 0.674038 0.212743 0.766972
40.000000 0.114800 0.665235 0.219965 0.758754
41.000000 0.118441 0.651018 0.230541 0.747320
42.000000 0.114538 0.649593 0.235868 0.741708
43.000000 0.119802 0.649631 0.230567 0.746183
44.000000 0.117131 0.655490 0.227379 0.749446
45.000000 0.118640 0.657736 0.223624 0.752797
46.000000 0.115694 0.657440 0.226865 0.749171
47.000000 0.119488 0.644513 0.235999 0.739019
48.000000 0.119453 0.645588 0.234959 0.740015
49.000000 0.118319 0.650611 0.231071 0.743253
50.000000 0.116977 0.656027 0.226996 0.747387
51.000000 0.119221 0.663925 0.216854 0.757055
52.000000 0.120614 0.653455 0.225931 0.747271
53.000000 0.120093 0.651751 0.228156 0.744535
54.000000 0.119499 0.659176 0.221326 0.751794
55.000000 0.116179 0.663603 0.220218 0.752595
56.000000 0.119501 0.661324 0.219175 0.753128
57.000000 0.120153 0.647721 0.232126 0.739247
58.000000 0.120670 0.644906 0.234424 0.735996
59.000000 0.124794 0.641459 0.233746 0.736022
60.000000 0.120772 0.645105 0.234123 0.736088
61.000000 0.120689 0.646408 0.232903 0.736988
62.000000 0.120157 0.652816 0.227027 0.743160
63.000000 0.123481 0.649787 0.226732 0.742364
64.000000 0.123134 0.647926 0.228940 0.739588
65.000000 0.120369 0.649089 0.230542 0.737870
66.000000 0.126082 0.647046 0.226873 0.740324
67.000000 0.122417 0.636463 0.241120 0.726540
68.000000 0.126717 0.637477 0.235806 0.730186
69.000000 0.125739 0.638492 0.235770 0.730664
70.000000 0.123075 0.647123 0.229802 0.736789
71.000000 0.127725 0.634347 0.237928 0.727232
72.000000 0.122513 0.654740 0.222747 0.743952
73.000000 0.125453 0.636840 0.237708 0.727066
74.000000 0.123003 0.650622 0.226375 0.739437
75.000000 0.124527 0.645598 0.229875 0.735508
76.000000 0.125419 0.639675 0.234905 0.729452
77.000000 0.124201 0.641464 0.234335 0.729710
78.000000 0.126618 0.646124 0.227257 0.736569
79.000000 0.128826 0.640551 0.230623 0.732325
80.000000 0.130379 0.641753 0.227869 0.735145
81.000000 0.129815 0.640331 0.229854 0.732599
82.000000 0.132124 0.636903 0.230973 0.730849
83.000000 0.127712 0.645448 0.226840 0.735153
84.000000 0.130480 0.639649 0.229871 0.731071
85.000000 0.130543 0.637518 0.231939 0.729262
86.000000 0.131994 0.636283 0.231723 0.728564
87.000000 0.132173 0.638285 0.229542 0.730283
88.000000 0.129861 0.636308 0.233831 0.726005
89.000000 0.129198 0.639917 0.230886 0.729522
90.000000 0.135965 0.623770 0.240265 0.717447
91.000000 0.134790 0.630477 0.234733 0.723981
92.000000 0.130950 0.638401 0.230649 0.728778
93.000000 0.130030 0.638835 0.231136 0.727634
94.000000 0.133307 0.634143 0.232550 0.725476
95.000000 0.136646 0.623848 0.239506 0.716982
96.000000 0.131544 0.634561 0.233895 0.723434
97.000000 0.133855 0.624291 0.241853 0.714826
98.000000 0.132944 0.635170 0.231886 0.725240
99.000000 0.134312 0.641401 0.224287 0.732668
100.000000 0.137529 0.622091 0.240381 0.714839
101.000000 0.139233 0.625237 0.235530 0.719179
102.000000 0.136045 0.634869 0.229086 0.726144
103.000000 0.140763 0.632285 0.226952 0.727562
104.000000 0.133782 0.631615 0.234603 0.721685
105.000000 0.135807 0.632606 0.231587 0.723119
106.000000 0.137129 0.626018 0.236853 0.717778
107.000000 0.139430 0.625460 0.235110 0.718136
108.000000 0.138840 0.629646 0.231514 0.722003
109.000000 0.141106 0.628153 0.230740 0.722198
110.000000 0.136890 0.638173 0.224937 0.728585
111.000000 0.138907 0.630458 0.230635 0.722292
112.000000 0.138967 0.639042 0.221990 0.730611
113.000000 0.137466 0.638874 0.223659 0.729021
114.000000 0.140510 0.624220 0.235270 0.716971
115.000000 0.136201 0.632686 0.231113 0.721560
116.000000 0.142472 0.619510 0.238018 0.711856
117.000000 0.140934 0.623279 0.235788 0.715499
118.000000 0.142556 0.626345 0.231099 0.719081
119.000000 0.141915 0.628979 0.229106 0.721499
